"gene","MAD","variance","retained","reason"
"C8orf82",0.3684314158623,0.146306050883638,TRUE,"retained"
"UTP14C",0.2860271596847,0.0863013416096047,TRUE,"retained"
"ALG11",0.22841414961645,0.0593225214076946,TRUE,"retained"
"HS1BP3",0.3778679869503,0.160777153731094,TRUE,"retained"
"SEZ6L2",0.2190445019805,0.0490998376634434,TRUE,"retained"
"HIP1R",0.4586197885647,0.297694796292092,TRUE,"retained"
"CYYR1",0.24176724359655,0.182404501598769,TRUE,"retained"
"LPPR2",0.4899167695884,0.278308746413873,TRUE,"retained"
"CRTC3",0.738981885217799,0.603120118707743,TRUE,"retained"
"SP110",0.55603532269446,0.423629970130461,TRUE,"retained"
"EMID1",0.3411872916963,0.153336559665996,TRUE,"retained"
"C9orf103",1.4063398240416,2.08182449130541,TRUE,"retained"
"SMC5",0.42513739694895,0.191293716444561,TRUE,"retained"
"HKDC1",0.29174290601505,0.0921841625993181,TRUE,"retained"
"SUSD1",0.48761326249335,0.237785847362777,TRUE,"retained"
"TMCO4",0.2777824608678,0.0955449241740752,TRUE,"retained"
"CCNYL1",0.4612227204438,0.214998897411955,TRUE,"retained"
"TMCO6",0.216167037800699,0.0544942738060033,TRUE,"retained"
"CLDN15",0.24283088159295,0.0658499874738711,TRUE,"retained"
"LCLAT1",0.612194250548999,0.364050646096007,TRUE,"retained"
"HIVEP2",0.4756398166457,0.354502907189985,TRUE,"retained"
"DHRS11",0.2297379101535,0.067697498248926,TRUE,"retained"
"HIVEP1",0.4604802514137,0.272576683061586,TRUE,"retained"
"ARHGEF11",0.3223675349811,0.104891593607177,TRUE,"retained"
"ITSN1",0.351189511008,0.243476783375344,TRUE,"retained"
"NUP88",0.534452969792701,0.320923762830763,TRUE,"retained"
"HADH",0.4718251362657,0.29976779325861,TRUE,"retained"
"MPP1",0.80261454763308,0.598068475682218,TRUE,"retained"
"CDK4",0.409730070786225,0.232724860093908,TRUE,"retained"
"CYP51A1",0.42131191533375,0.308258981961927,TRUE,"retained"
"GOLPH3",0.711728291685599,0.419136432585117,TRUE,"retained"
"NT5C2",0.4734343920656,0.235214130105549,TRUE,"retained"
"VEZT",0.276449574804201,0.124410256866786,TRUE,"retained"
"CCNA2",0.30565441683735,0.376219837321627,TRUE,"retained"
"ERAP2",1.26681639184065,1.39478923908439,TRUE,"retained"
"AP1G1",0.307210649981025,0.106023038459855,TRUE,"retained"
"LEPRE1",0.30762547645725,0.10256060362375,TRUE,"retained"
"CHMP4A",0.486222509934,0.226612012055981,TRUE,"retained"
"PRKRIP1",0.257105827713001,0.068058762239388,TRUE,"retained"
"IGFBP2",0.4133867915646,0.297701861589744,TRUE,"retained"
"CAST",0.472124874693779,0.256811470665773,TRUE,"retained"
"G3BP1",0.4724182395233,0.245493824851286,TRUE,"retained"
"EXOSC3",0.5184460003149,0.26046789076103,TRUE,"retained"
"BCAP29",0.410240625408599,0.223481553137322,TRUE,"retained"
"AKAP13",0.554155345530675,0.321576867716104,TRUE,"retained"
"ACAT2",0.5029687045131,0.312924536751519,TRUE,"retained"
"PLEKHF1",0.444482248700701,0.23550539613121,TRUE,"retained"
"CDC37L1",0.278069565863601,0.0929037033353566,TRUE,"retained"
"MT3",0.3235259867301,0.11535002668723,TRUE,"retained"
"CDC42SE1",0.3719030228494,0.171202180748607,TRUE,"retained"
"TBC1D25",0.27350365762335,0.0863002466002184,TRUE,"retained"
"KAT5",0.3681509227683,0.155727108501707,TRUE,"retained"
"GPR109A",1.1968957337925,2.79359876142345,TRUE,"retained"
"UBLCP1",0.4887911477925,0.254301438246786,TRUE,"retained"
"TMEM8A",0.440846953901549,0.198821529665486,TRUE,"retained"
"FASTKD1",0.6024210721809,0.363905148231318,TRUE,"retained"
"KIAA1033",0.713112542920399,0.511625164562261,TRUE,"retained"
"NGDN",0.5125509388272,0.27582471285874,TRUE,"retained"
"NARG2",0.417431530445999,0.208968097692643,TRUE,"retained"
"IL2RB",1.2729138604749,1.77612703340033,TRUE,"retained"
"ANKRD28",0.53755630252275,0.412417733554412,TRUE,"retained"
"SSBP3",1.0263944483646,0.979564353523011,TRUE,"retained"
"DGAT2",0.6340428723321,0.71487997107907,TRUE,"retained"
"BRPF1",0.3747715049442,0.149808752759244,TRUE,"retained"
"ZNHIT6",0.3718441631352,0.255724334999629,TRUE,"retained"
"RUNDC1",0.2644819228338,0.0676500644880062,TRUE,"retained"
"OBFC1",0.840454706065801,0.804605408419585,TRUE,"retained"
"STK17A",0.355243148207499,0.132346846015804,TRUE,"retained"
"SMN2",0.3942776602401,0.172273287981404,TRUE,"retained"
"HPSE",1.0637868279423,1.04424099692945,TRUE,"retained"
"AKAP11",0.9306170865663,0.779052298623544,TRUE,"retained"
"HIF3A",0.2809965004518,0.0870984501828428,TRUE,"retained"
"KIAA1967",0.4614185400279,0.243616532169135,TRUE,"retained"
"STEAP3",0.571495252654199,0.4323628712204,TRUE,"retained"
"PARP8",0.513788971355099,0.310161311202737,TRUE,"retained"
"HCST",0.498246802166399,0.278602240263026,TRUE,"retained"
"RBP7",1.2719436929955,1.77991913007348,TRUE,"retained"
"MECP2",0.316703914025099,0.0969047139789785,TRUE,"retained"
"AVEN",0.3811992942639,0.186036297325154,TRUE,"retained"
"GIYD1",0.42503417685435,0.189778223728566,TRUE,"retained"
"ZMYM4",0.4001055221415,0.161182101287605,TRUE,"retained"
"SFI1",0.2748577180566,0.0835490208720888,TRUE,"retained"
"STUB1",0.4084494088752,0.166791514008731,TRUE,"retained"
"KIAA1109",0.531292027550899,0.382805114034715,TRUE,"retained"
"B3GNT5",1.6089079075629,2.11512273784296,TRUE,"retained"
"FAM190B",0.3501058947295,0.154612544610558,TRUE,"retained"
"PPOX",0.57885280526745,0.66400301896325,TRUE,"retained"
"XPA",0.3192747283404,0.132412028821771,TRUE,"retained"
"STK35",0.305948928655651,0.10452125103516,TRUE,"retained"
"BAIAP2",0.228931401513675,0.0489806476256699,TRUE,"retained"
"CENPV",0.2940685972539,0.124418982731955,TRUE,"retained"
"UNC13D",0.3969285940123,0.164271968230357,TRUE,"retained"
"CSF2RB",0.420014711375001,0.248108883360361,TRUE,"retained"
"ZNF286A",0.3691137484125,0.228292271025579,TRUE,"retained"
"C17orf95",0.6868431768576,0.462676118654477,TRUE,"retained"
"APPL1",0.412540782692499,0.17405986921176,TRUE,"retained"
"CEP250",0.3155483021964,0.104412835355373,TRUE,"retained"
"DDC",0.3379317452427,0.136647260735727,TRUE,"retained"
"LOC729991",0.398329249660125,0.167767496211512,TRUE,"retained"
"HOOK3",0.566282690015,0.295584519513279,TRUE,"retained"
"AKAP8",0.40374175320255,0.164806183468845,TRUE,"retained"
"C14orf43",0.9261610699971,0.652461111265203,TRUE,"retained"
"RAB43",0.56962299312765,0.382136844461966,TRUE,"retained"
"SHPRH",0.4825431244641,0.259306040490103,TRUE,"retained"
"TMEM37",0.2561784273132,0.0849646762157381,TRUE,"retained"
"GATA2",0.2804596868213,0.308102228279096,TRUE,"retained"
"WDR62",0.2713762166913,0.075065653691727,TRUE,"retained"
"MBNL2",0.6340666621317,0.643229200590078,TRUE,"retained"
"MMP24",0.3223650953628,0.114550228448448,TRUE,"retained"
"DIDO1",0.3819382154322,0.149637234649872,TRUE,"retained"
"SLC6A19",0.3629277051771,0.238630498649651,TRUE,"retained"
"FGFBP2",1.32586968381,1.65167673093623,TRUE,"retained"
"GRWD1",0.2345610523354,0.0523340135651018,TRUE,"retained"
"TIMP2",0.4881035616492,0.326340167624893,TRUE,"retained"
"PKM2",0.5275787626942,0.293444483851545,TRUE,"retained"
"ENG",0.251783909239099,0.0720957350935514,TRUE,"retained"
"RAB5A",0.698475175353901,0.443845809790353,TRUE,"retained"
"ZNHIT3",0.658563388392,0.40507326262935,TRUE,"retained"
"GDE1",0.50004591539805,0.282151299393644,TRUE,"retained"
"MAPK6",0.3107433809214,0.162437936750265,TRUE,"retained"
"C12orf23",0.4235377171389,0.357898355012501,TRUE,"retained"
"SS18",0.2408225475558,0.0672574383858578,TRUE,"retained"
"PTBP2",0.6621017808258,0.469392132545689,TRUE,"retained"
"RAB35",0.3194796681384,0.115668703906674,TRUE,"retained"
"WDR54",0.5853900908982,0.506013259851665,TRUE,"retained"
"SP1",0.403753861967399,0.186735086823867,TRUE,"retained"
"RAB7A",0.436492734995801,0.18370049331649,TRUE,"retained"
"PABPC4",0.66670275749805,0.459197387106966,TRUE,"retained"
"RANBP2",0.43524731877396,0.197283096503146,TRUE,"retained"
"ZNF3",0.2989764517404,0.0956425186157474,TRUE,"retained"
"GGH",0.8970874856307,1.10455251958531,TRUE,"retained"
"COCH",0.2304625724163,0.361659840484155,TRUE,"retained"
"NCAPG",0.4989134525151,0.5877864377846,TRUE,"retained"
"SDAD1",0.373963771615,0.196925873756492,TRUE,"retained"
"PEX12",0.2605040714514,0.0860132033008281,TRUE,"retained"
"CCNY",0.524445095968149,0.256086313121861,TRUE,"retained"
"KPTN",0.3552268228047,0.151896606991777,TRUE,"retained"
"FUBP1",0.288255206455125,0.0989916694912497,TRUE,"retained"
"LYAR",0.6310424576169,0.465564515987782,TRUE,"retained"
"TFB2M",0.4835278258713,0.266915662027453,TRUE,"retained"
"UBE2R2",0.37988426253435,0.161619716129659,TRUE,"retained"
"PPP3CA",0.520315645832324,0.347786245613913,TRUE,"retained"
"BIRC3",0.865656433089,0.936157258919076,TRUE,"retained"
"HABP4",0.2921885981847,0.13544838141194,TRUE,"retained"
"ZNF395",0.7694218248486,0.622266541519422,TRUE,"retained"
"NETO2",0.4018218125187,0.232012141671981,TRUE,"retained"
"RAD1",0.270909128935725,0.0949089099237257,TRUE,"retained"
"RFC4",0.4860009983745,0.371015603433173,TRUE,"retained"
"MSL3",0.69252270714942,0.420664071485959,TRUE,"retained"
"LRBA",0.24979046767185,0.0678480715559863,TRUE,"retained"
"NDUFAF1",0.602602860067949,0.362948966391399,TRUE,"retained"
"TBC1D17",0.3100919190684,0.114375686956514,TRUE,"retained"
"PPP2R2B",0.2747764649049,0.17401939023443,TRUE,"retained"
"PHF19",0.38607116716035,0.186203649465946,TRUE,"retained"
"C5orf41",0.601631237363701,0.418311223425739,TRUE,"retained"
"EMB",0.998129992701099,0.912105432979518,TRUE,"retained"
"PIK3C2A",0.5103910256193,0.242755213177684,TRUE,"retained"
"REV1",0.3403956117128,0.130645164574962,TRUE,"retained"
"RARA",0.2201865924972,0.0511021818547366,TRUE,"retained"
"CCDC76",0.463391089872599,0.290100121723809,TRUE,"retained"
"TBC1D9",1.0874919228978,1.16273438230189,TRUE,"retained"
"MIA3",0.364503816218499,0.182008262387799,TRUE,"retained"
"GATS",0.226786248700725,0.0561584271212804,TRUE,"retained"
"CYP2R1",0.3316172732649,0.138719182598326,TRUE,"retained"
"USP13",0.3213330493485,0.136770988792661,TRUE,"retained"
"FAM122B",0.333570848583,0.101628620846327,TRUE,"retained"
"MMRN1",0.614212158660974,0.633665077979211,TRUE,"retained"
"CCDC137",0.3116554586502,0.107830758843493,TRUE,"retained"
"KIAA0415",0.2722301609328,0.0707018976029324,TRUE,"retained"
"CHML",0.300053384211,0.12031259520705,TRUE,"retained"
"C3orf59",0.2863185681741,0.0880386909591956,TRUE,"retained"
"ATXN1",0.697982491065299,0.471793885487482,TRUE,"retained"
"PALB2",0.2626288062678,0.0860342465702413,TRUE,"retained"
"GLT1D1",0.368388917503949,0.20725114763902,TRUE,"retained"
"CDRT4",0.2604849644439,0.0865588594337305,TRUE,"retained"
"SLC27A1",0.4735133721444,0.205994016292456,TRUE,"retained"
"BIK",0.4161146836434,0.20517731361973,TRUE,"retained"
"SMURF1",0.3634354541643,0.124283197041062,TRUE,"retained"
"CYB561D1",0.166585756866199,0.0325987788731049,TRUE,"retained"
"LINS1",0.4163541057522,0.205103418570723,TRUE,"retained"
"AMMECR1",0.406961475592349,0.183738325421203,TRUE,"retained"
"PLEKHA1",0.5632248376461,0.477962340505557,TRUE,"retained"
"ZDHHC8",0.2503017382047,0.0596336938648485,TRUE,"retained"
"CREB5",0.598055191761297,0.703760624978437,TRUE,"retained"
"FOXK1",0.3689100955113,0.163689566007864,TRUE,"retained"
"TAZ",0.4502067214911,0.207474181457268,TRUE,"retained"
"F8",0.4509142812216,0.20594595182031,TRUE,"retained"
"LYST",0.4243291685549,0.243342729814262,TRUE,"retained"
"UBOX5",0.2667122054268,0.0672605851394483,TRUE,"retained"
"BTAF1",0.692286190145901,0.442721621259139,TRUE,"retained"
"PLIN3",0.626783316243,0.444818271372415,TRUE,"retained"
"NOL11",0.5811959192802,0.384640140645836,TRUE,"retained"
"ALDH6A1",0.3118622124093,0.121182152916822,TRUE,"retained"
"RANBP1",0.5975127758796,0.396068467980721,TRUE,"retained"
"F2",0.3316817359716,0.160788898187309,TRUE,"retained"
"CCPG1",0.763284394213948,0.560560289477045,TRUE,"retained"
"KIF20A",0.2683967726118,0.142781516961238,TRUE,"retained"
"CAPZA2",0.957149333818859,0.829958188323453,TRUE,"retained"
"EXT2",0.275406279068199,0.100582532873051,TRUE,"retained"
"LCMT2",0.2823467324412,0.0906022704937903,TRUE,"retained"
"RIPK3",0.315064077438075,0.0951678221764824,TRUE,"retained"
"BCKDHB",0.3522380035041,0.223193501691878,TRUE,"retained"
"CREB3",0.3312948515016,0.127731514723421,TRUE,"retained"
"FAM26F",0.589915376022,0.510807776454639,TRUE,"retained"
"ITLN1",0.5544298809819,0.678370109885638,TRUE,"retained"
"CRISPLD2",0.39281729820228,0.171676073908237,TRUE,"retained"
"PLP2",0.532308084959699,0.384531666375021,TRUE,"retained"
"NOV",0.30250383698115,0.233187303390072,TRUE,"retained"
"GTF2A2",0.444794031820599,0.223429325600967,TRUE,"retained"
"TRMT12",0.3192881562486,0.117850540910565,TRUE,"retained"
"STX8",0.506157705206999,0.297766860893263,TRUE,"retained"
"SFRS3",0.590735184139799,0.312799167251294,TRUE,"retained"
"UBE2D1",0.76814313461025,0.602189594655483,TRUE,"retained"
"SMAD1",0.46550757566145,0.417754452153225,TRUE,"retained"
"FRG1",0.4662036196671,0.226802574842883,TRUE,"retained"
"C7orf30",0.3722287606947,0.169890760841369,TRUE,"retained"
"CX3CR1",1.3843543642089,2.09101255083604,TRUE,"retained"
"HSPA6",0.70867387808385,0.673719825398823,TRUE,"retained"
"KIAA0467",0.34657329617295,0.111814877793675,TRUE,"retained"
"MRPL33",0.661076362774799,0.403485116935085,TRUE,"retained"
"TAP2",0.914100845285775,0.962055772412321,TRUE,"retained"
"RILPL2",0.528405901033499,0.291506746319609,TRUE,"retained"
"NDUFS7",0.4952397041375,0.270186628941593,TRUE,"retained"
"GCHFR",0.4745102078913,0.318411105678103,TRUE,"retained"
"TMEM18",0.2607005663598,0.0744996150461511,TRUE,"retained"
"ENDOG",0.3480571018974,0.15072573042017,TRUE,"retained"
"NAIF1",0.3748259853051,0.147687579452129,TRUE,"retained"
