"gene","module","module_membership","gene_significance","gene_significance_p","gene_significance_FDR"
"COX4I1","blue",0.63493208819303,-0.180417842859286,2.69438502811537e-07,6.29108590185137e-07
"LAPTM4B","turquoise",0.32173467840611,0.137576787473266,9.28158016557654e-05,0.000169395088491698
"PLD3","turquoise",0.63811860311093,-0.0102072298630355,0.772871139542463,0.796807177340681
"PHB2","blue",0.745252383035054,-0.319949333488547,1.51344055247645e-20,8.30481576151677e-20
"C4orf46","yellow",0.608179545033577,-0.150456435278267,1.88073198834017e-05,3.70992824827917e-05
"CDKN1A","turquoise",0.334864195287659,0.11543692853514,0.00105668171170864,0.00169581440092797
"FKBP1A","red",0.705048155919991,0.253746030849976,2.99784141051664e-13,1.06929445708535e-12
"MTCH1","green",0.413434353247792,-0.140003230788623,6.94211038726782e-05,0.000128758820355154
"CD81","blue",0.852337948953839,-0.430374213072133,1.6974155695586e-37,2.32195160690925e-36
"MUTED","yellow",0.449171792238454,-0.114522527886472,0.00115864876952129,0.00184863783451257
"MAGED2","blue",0.312403440464716,-0.149536795670493,2.11729837664958e-05,4.15452175506812e-05
"APEX1","blue",0.833286304665667,-0.377981002231623,1.22560579550239e-28,1.04104185491124e-27
"SLC25A5","blue",0.758606455480957,-0.322469355457123,7.29537816995898e-21,4.05541340548202e-20
"ILF2","blue",0.745218139883184,-0.31457961688378,7.00316497138379e-20,3.68153601736187e-19
"COL6A1","turquoise",0.772908281125817,0.0324893397423638,0.358151666731793,0.396195821880214
"PSMB4","yellow",0.447629693773467,-0.0130923286356998,0.711228158311357,0.740078229960269
"PRDX2","turquoise",0.754449183684949,0.0394672329212814,0.264256039258315,0.299282306802092
"EPAS1","red",0.412245032426955,0.266472971233803,1.6695816140652e-14,6.46177453992036e-14
"TSC22D1","grey",0.231754505188396,-0.00052180681299893,0.988228186958731,0.989602874055874
"DDB1","turquoise",0.550027230047521,-0.168992037596504,1.48696094795459e-06,3.24678980067128e-06
"LOC728622","turquoise",0.394176902795237,0.0907127118773624,0.0101627471609624,0.0142384772898632
"SKP1","turquoise",0.543359433109252,0.065755788928255,0.06270349142635,0.0784594040465725
"LY6E","grey",-0.292186757146724,-0.0787817247352205,0.0256774273117966,0.0339945526180774
"CCT2","yellow",0.756569522448154,-0.2287983514923,5.50718825231381e-11,1.69467791317527e-10
"BCAP31","red",0.597869325919041,0.0682193610373276,0.0534605254818498,0.0676583158444068
"FLNA","grey",0.19162929939865,-0.0782136426958376,0.0267656614928728,0.0353296916198612
"NHP2L1","blue",0.921187714420797,-0.46457910797137,3.50358913880101e-44,7.23196051984051e-43
"ARF4","brown",0.565618881364005,0.0965550930546969,0.006209030382625,0.00897986086728714
"AKR1B1","blue",0.73426211734764,-0.450284098504174,2.69912462261518e-41,4.68200563302435e-40
"TMBIM1","brown",0.457492331951043,0.0143853070690576,0.684175567221084,0.714057102505658
"RBBP7","blue",0.753541612624857,-0.487126026604124,5.06137539165993e-49,1.43235680002799e-47
"PDIA6","yellow",0.603942718450107,-0.208109726441804,2.68713017491764e-09,7.36037226033326e-09
"DAP","turquoise",0.528588710830597,0.072580504155736,0.0398832515250478,0.0514187699871839
"DNAJB1","grey",0.0213880637757749,-0.0324210219253356,0.359163854031404,0.397162948419135
"ERGIC3","blue",0.588302265578371,-0.181603094436262,2.24251736204835e-07,5.26269661289178e-07
"SSR2","blue",0.372216008256507,-0.00545907628491928,0.87732675806319,0.892751091030288
"COX8A","red",0.549388497576749,0.0247449772919146,0.484063383168356,0.52322091285033
"DHCR24","grey",0.516689916157278,0.112397538215152,0.00143163040072254,0.00225760117134751
"LYZ","yellow",0.371738282021644,-0.114379529746643,0.001175391949287,0.00187327583670785
"IGFBP4","turquoise",0.574877249462476,0.0358144658067692,0.311062764956808,0.348184735352042
"ARHGDIB","black",0.698816392468534,0.0128816723661619,0.715671342678006,0.743760942431225
"TUFM","blue",0.745083630619855,-0.338906115947558,5.26511953746147e-23,3.27272783769461e-22
"TXN","red",0.65878633203277,0.602035051459733,2.99519264645284e-80,9.32395375725508e-78
"SRPR","green",0.605675537324859,-0.159054928772321,6.00563977981438e-06,1.24367060380982e-05
"DDX17","green",0.578977003917985,-0.130493579764854,0.000210875382220614,0.000369577396898514
"TFRC","grey",0.594954904005808,0.134447814066978,0.000134036206170765,0.000240396920379145
"MCL1","brown",0.624555256353024,-0.0143982982660993,0.683905728903839,0.713904856399711
"PGRMC1","brown",0.342355315456617,0.0690037931995938,0.0507673613494055,0.0645193057511257
"AMY1A","green",0.587193213236909,-0.224063128936141,1.38761439534944e-10,4.16428937093144e-10
"MORF4L1","brown",0.696972864794754,-0.136215496130339,0.000109013153927759,0.00019729941969515
"HBG1","turquoise",0.52077100115939,0.0692004137722692,0.0501103818164713,0.0637547086890662
"RPS25","blue",0.744427755778219,-0.369304583519068,2.55508523671828e-27,1.99657203232844e-26
"CTSK","grey",0.0785596819113467,0.129753231553359,0.000229228514837856,0.000400341779211892
"OXA1L","blue",0.720430470338707,-0.371451118909026,1.21560956787636e-27,9.68284301715067e-27
"CBX3","brown",0.846760346257066,0.140076379972813,6.88108542831715e-05,0.000127647514838713
"TARDBP","yellow",0.818963671467164,-0.376538345813702,2.04388446088581e-28,1.71961002340999e-27
"IGFBP7","red",0.552614436639878,0.161550347553192,4.26275236038511e-06,8.92535569658529e-06
"RPL18A","blue",0.700709053166763,-0.306658571945387,6.34226063433433e-19,3.15687804607877e-18
"LASP1","black",0.737171864665015,0.0186873107622808,0.597195394748593,0.632563597270029
"IARS","blue",0.78451221510438,-0.443617850181488,5.38567621052799e-40,8.66371768056723e-39
"MAGED1","blue",0.811536282602459,-0.488625942654826,2.3403625684369e-49,6.87660613858578e-48
"MFGE8","turquoise",0.613019987265867,0.0874206348072077,0.0132640749275907,0.0182680395810104
