group,pc1_center_nm,pc2_center_nm,frame_count,probability,free_energy_kj_mol
complex_all_replicates,-3.1064674999999995,-0.6097244999999998,6,0.0024968789013732,4.668908768441791
complex_all_replicates,-3.1064674999999995,-0.4360686999999996,1,0.0004161464835622,9.138163906645048
complex_all_replicates,-3.1064674999999995,-0.2624128999999997,2,0.0008322929671244,7.409220010183719
complex_all_replicates,-3.1064674999999995,-0.0887570999999995,0,0.0,
complex_all_replicates,-3.1064674999999995,0.0848987000000005,3,0.0012484394506866,6.39785266490312
complex_all_replicates,-3.1064674999999995,0.2585545000000002,0,0.0,
complex_all_replicates,-3.1064674999999995,0.4322103000000004,0,0.0,
complex_all_replicates,-3.1064674999999995,0.6058661000000005,1,0.0004161464835622,9.138163906645048
complex_all_replicates,-3.1064674999999995,0.7795219000000007,0,0.0,
complex_all_replicates,-3.1064674999999995,0.9531777000000008,0,0.0,
complex_all_replicates,-3.1064674999999995,1.1268335000000005,0,0.0,
complex_all_replicates,-3.1064674999999995,1.3004893000000006,0,0.0,
complex_all_replicates,-3.1064674999999995,1.4741451000000008,0,0.0,
complex_all_replicates,-3.1064674999999995,1.647800900000001,0,0.0,
complex_all_replicates,-3.1064674999999995,1.821456700000001,0,0.0,
complex_all_replicates,-3.1064674999999995,1.9951125000000007,0,0.0,
complex_all_replicates,-3.1064674999999995,2.168768300000001,0,0.0,
complex_all_replicates,-3.1064674999999995,2.342424100000001,0,0.0,
complex_all_replicates,-3.1064674999999995,2.5160799000000007,0,0.0,
complex_all_replicates,-3.1064674999999995,2.689735700000001,0,0.0,
complex_all_replicates,-3.1064674999999995,2.863391500000001,0,0.0,
complex_all_replicates,-3.1064674999999995,3.0370473000000007,0,0.0,
complex_all_replicates,-3.1064674999999995,3.210703100000001,0,0.0,
complex_all_replicates,-3.1064674999999995,3.384358900000001,0,0.0,
complex_all_replicates,-3.1064674999999995,3.5580147000000006,0,0.0,
complex_all_replicates,-3.1064674999999995,3.731670500000001,0,0.0,
complex_all_replicates,-3.1064674999999995,3.905326300000002,0,0.0,
complex_all_replicates,-3.1064674999999995,4.078982100000001,0,0.0,
complex_all_replicates,-2.9025224999999995,-4.430152100000001,0,0.0,
complex_all_replicates,-2.9025224999999995,-4.2564963,0,0.0,
complex_all_replicates,-2.9025224999999995,-4.0828405,0,0.0,
complex_all_replicates,-2.9025224999999995,-3.9091847,0,0.0,
complex_all_replicates,-2.9025224999999995,-3.7355289,0,0.0,
