"gene","logFC","logCPM","F","PValue","FDR"
"RETN",4.01303465569142,9.80348212433151,21.9182434958037,0.00137547285127505,0.0910008118876088
"S100A10",-2.23774673995921,9.70722487187192,18.6201584671983,0.00138541154516019,0.0910008118876088
"NR4A2",-2.68232363926731,7.34062401011231,18.4739395484136,0.00142413227025113,0.0928133703002731
"RHOU",-6.62841206024016,5.8119613005019,18.3046669012459,0.00147239824563539,0.0947118514940998
"MAP1LC3B",1.66748955971444,9.27246710219898,18.2554969830888,0.00148395776747659,0.0947118514940998
"TPM4",1.81886011981469,7.76448556347493,18.2459005754722,0.00148732348905863,0.0947118514940998
"AHR",-3.31808661021509,6.49062210141319,17.9399258043482,0.00157664382850858,0.0977598374757737
"RAB18",2.47698515370093,6.27656415782983,17.9630017034884,0.00158023226278837,0.0977598374757737
"IQGAP1",1.66145905520665,8.70343997229381,17.843215029566,0.00160565097320308,0.0977598374757737
"POLE4",-3.3206729245805,6.49257202758552,17.8000525348482,0.00161962010806229,0.0977598374757737
"CSF1",4.0082828632216,5.6427057387237,16.8292242597446,0.00162591289780311,0.0977598374757737
"ZYX",1.77419804004216,7.83453497391324,17.7660082267809,0.001630219462632,0.0977598374757737
"OSTC",-6.67552844052302,5.85136729100636,17.7593599225135,0.00163388678831987,0.0977598374757737
"RBP7",-3.56531125149591,6.70035018177189,17.7323369094998,0.00164071436619674,0.0977598374757737
"TRAC",-3.56531125149591,6.70035018177189,17.7323369094998,0.00164071436619674,0.0977598374757737
"GPI",2.57088893964098,6.34697052151036,17.6752416084216,0.00167020032702125,0.0977598374757737
"S100A11",1.60378517409284,10.696783738916,17.621776002542,0.00167568712636144,0.0977598374757737
"SSH1",3.47044764992918,5.28072452249219,16.682061885218,0.00167581596248329,0.0977598374757737
"BCL2A1",1.93283240465838,9.38203991603034,17.5724196302276,0.00169192205921383,0.0980139848469569
"TTC3",-3.56145684822269,6.70020573905586,17.3998957269621,0.00175031718817374,0.0997787468680858
"SPI1",1.55947620703746,8.86833612993734,17.3555167832725,0.00176517188549818,0.0997787468680858
"TXN",1.75293900923515,8.1790656295131,17.3540778950616,0.0017659682419379,0.0997787468680858
"CPVL",-7.01716491322045,6.13775858638637,17.3357873817692,0.00177320636795698,0.0997787468680858
"MIR222HG",3.23828105350633,5.52995711258266,16.8540656495271,0.00178219051586487,0.0997787468680858
"PXN",2.39202443726444,6.58814742622659,17.1433203509472,0.0018519825938357,0.102799310250568
"FKBP5",3.09911193596502,5.74199179458065,16.8755576219514,0.00186078828192709,0.102799310250568
"CAP1",1.8125113998371,8.08546725281784,16.8820578502669,0.00193896706134556,0.106413573853583
"SLC25A5",-2.18571459659155,7.9520628532648,16.8006986135987,0.00197032362588921,0.107427710373646
"LAT2",3.23326652980337,5.53245857900363,16.2623622859058,0.0020166318246617,0.108533823750503
"PLXNC1",3.23326652980337,5.53245857900363,16.2623622859058,0.0020166318246617,0.108533823750503
"NAMPT",1.52203153435741,10.961019707317,16.6439001874524,0.00203329228137605,0.108729001354096
"TNFAIP2",-6.49730415894795,5.70701738321362,16.5796286417447,0.0020634918026163,0.109641073996339
"PFKFB3",1.85550321810701,7.34452113352723,16.2208926419405,0.0022179382809637,0.116097344176975
"RHOG",1.67146174246116,8.49285074596299,16.1865461101377,0.00223187288919159,0.116097344176975
"STX1A",4.20926620111079,5.13500617961367,14.8264218565891,0.00224067039229118,0.116097344176975
"RALGAPA2",4.20926620111079,5.13500617961367,14.8264218565891,0.00224067039229118,0.116097344176975
"AC103591.3",-2.9731604176705,6.69504393048684,16.103309098469,0.00227079735956449,0.116293682073834
"HNMT",-6.43247722269757,5.65542149305171,16.1078695888427,0.00227234118653019,0.116293682073834
"TUT4",1.97444183717458,6.97350465525896,15.9669830914391,0.00233990842851038,0.11842788682475
"ATP2B1-AS1",-1.8641243016754,9.09463489070991,15.9515289816306,0.00234243602566336,0.11842788682475
"MT1X",2.79132150440075,5.79259677975697,15.7581752449411,0.00239910223291002,0.120562113415273
"PTEN",1.98726821852997,7.02831669482529,15.4639775722515,0.00259899758145016,0.128624662722221
"MAP2K3",1.74733120342346,7.56581409042824,15.4517856703056,0.00260221763854373,0.128624662722221
"PLAC8",1.8208984665987,7.60411039266373,15.44530890765,0.0026057981299515,0.128624662722221
"HLA-DMB",-3.76983085584929,6.072342105847,15.4016569593804,0.00263072967514353,0.129091452647337
"PHPT1",-6.36100389120639,5.59938800863294,15.2013930499764,0.00274875327734679,0.131501241213938
"FCER1G",1.83625155385299,10.0854950655017,15.1916622199988,0.00274884445528742,0.131501241213938
"TOMM22",-3.12490855756215,6.32972437355066,15.1782036496092,0.00275815701480957,0.131501241213938
"TIMP2",1.91691840269024,6.98923484180866,15.1793475383175,0.00276109147400028,0.131501241213938
"NEAT1",-1.34056288376673,12.0039800935348,15.1582483215387,0.00276849608785632,0.131501241213938
"FCGRT",-2.45334501318336,6.90585467078119,15.1493787405588,0.00277442081678891,0.131501241213938
"PLP2",1.60277800088491,8.47088940983288,15.0912072916333,0.00280898143907636,0.131669194877755
"FAM49A",-6.37151444568794,5.60682979201053,15.0750408143575,0.00282406619680191,0.131669194877755
"LIMK2",2.86959508092894,5.83712383117843,14.9904891843737,0.00282531597735772,0.131669194877755
"TNFSF13B",-6.96862939689403,6.09202711892355,15.0098225737873,0.00286024118570918,0.132556288728811
"HLA-DQA2",-6.2930662960593,5.5461996343131,14.9066953493786,0.00292928297942194,0.135005959195237
"BLOC1S1",1.65730617320495,8.19954248116315,14.8455018912908,0.00296220857729705,0.135773318416549
"ARPC5L",1.75249463671009,7.32817630934982,14.6966549302466,0.00306155123691766,0.139273389581986
"LGALS2",-6.42560070266853,5.65052627814283,14.685734321789,0.00307196160190426,0.139273389581986
"KCTD9",3.48937877939771,5.68963094085485,14.3039883086002,0.00309109800612461,0.139383457119414
"DDAH2",2.53965161570085,6.01241134004329,14.5852600167453,0.00314005830433811,0.140829926746175
"LY86",-6.37502273910988,5.6093134168402,14.2901767221971,0.00335218934001687,0.149539911627919
"REX1BD",-3.09029362491605,6.300694607802,14.2359212643091,0.00338825476657248,0.150344793950785
"HSP90AB1",-1.65256882230921,8.87465533318688,14.2088683513248,0.00340705784913559,0.150379241150736
"PDLIM5",2.46384146532296,5.97550022312315,14.1720524900214,0.00344138419778211,0.151094878831044
"DUSP6",-2.23933375479487,8.09982220794335,14.1301669369091,0.00346759966748363,0.151448777100254
"PTPN12",2.00582537724416,6.52816881162609,14.0724968044551,0.00352718749143191,0.153248948195442
"AC015912.3",2.85527573892465,5.84410894601882,13.9369200746932,0.0035715374616867,0.154156426621358
"CLU",3.04227497449021,5.41323049876245,13.667188394649,0.00358503317724089,0.154156426621358
"PHF20L1",1.91131027061909,6.71613776208596,13.9290743616878,0.00363795246946876,0.155629741027222
"LY6E",-2.46438874252781,6.9142859289513,13.8352173640305,0.00370652380158653,0.157296754494592
"CKLF",1.66727322159559,7.40846528700792,13.8272145078036,0.00371463205891089,0.157296754494592
"IGLC2",-3.97518798300406,6.24026252222184,13.7913094780284,0.00374484973975058,0.157775437015148
"RNF125",-6.4871703705118,5.69976627290912,13.6523471349827,0.0038690815014186,0.162190341129819
"CD79A",-7.01970240406922,6.13490901946412,13.6101256633675,0.00390318022081557,0.162801647010217
"ACTG1",1.24258639590345,10.47591288229,13.5306508422095,0.00397274143074319,0.163926069957149
"PRR13",1.50845567079647,8.07016329511404,13.5007155041569,0.00400092507278747,0.163926069957149
"RABGEF1",2.54171631207245,5.83923143871757,13.4793957136942,0.00400490875677662,0.163926069957149
"UTRN",-6.13453266301362,5.42523285643631,13.5030401033975,0.00400874110180513,0.163926069957149
"AES",-1.67315328441716,8.47522980896807,13.3612443492388,0.00413129128132099,0.168113326189169
"MARCKSL1",-2.33576445095745,6.80845834686719,13.3396324201623,0.00415290306250333,0.16817241430778
"HIST1H1D",2.75579236699806,5.53222103983484,13.1739975694008,0.00417860621853121,0.168395811956461
"ADA2",-6.13083433737942,5.42265823780643,13.2906007282919,0.00421058971604404,0.168868939477113
"RPAP2",3.94930861517414,4.97565022198633,12.1790891417383,0.00435995853674764,0.173678503077381
"OPLAH",3.58148270468467,5.34470477830169,12.5237934163772,0.00438944044067195,0.173678503077381
"HK3",2.94139090549324,5.34705447317639,12.813743742174,0.00439297100807089,0.173678503077381
"PRELID1",1.4544577325914,8.23313515258973,13.0440576757524,0.00444931443078297,0.175076325384866
"GNG2",1.79001437794233,7.02961891145417,12.8922635975144,0.0046166284487481,0.180807110419984
"EREG",-2.27805671527846,6.76084474890005,12.7159424956201,0.0048096038454162,0.186799165593838
"SMIM25",1.95547810268844,7.15732188769346,12.7155772989106,0.00481441148437727,0.186799165593838
"MCUB",-2.61131904896563,6.39600468551801,12.6630247423684,0.00487164410993566,0.187919776834825
