"gene","HC1","HC2","NSES"
"AC008763.2",4.76169449409717,4.54624760585208,5.44289479092054
"STXBP2",8.27214798029008,9.01533537772084,11.4827884096382
"RETN",4.76169449409717,8.18867918563682,11.2017517140569
"MCEMP1",4.44669159404492,5.15237377129022,7.29156821160196
"TRAPPC5",4.04312272295644,3.48082754210608,4.45565018125735
"MAP2K7",5.23916589294564,5.75127484793027,5.61139554019353
"SNAPC2",4.44669159404492,4.54624760585208,4.04905405047373
"ELAVL1",5.42931587612097,5.15237377129022,4.77248964499869
"CD320",4.04312272295644,4.88091111817509,4.04905405047373
"NDUFA7",4.44669159404492,3.48082754210608,4.45565018125735
"RPS28",12.520381009509,12.3124391956962,11.7965045123249
"RAB11B",5.88397211596874,6.29030069184318,5.0321216312624
"MARCH2",6.0084396527514,5.15237377129022,6.43647455431806
"HNRNPM",7.73719113034671,7.60115352295449,7.52052684447922
"PRAM1",5.42931587612097,5.38075636542466,5.2520788307383
"ZNF414",3.48082754210608,5.38075636542466,4.77248964499869
"MYO1F",7.06123589755846,6.98943389654848,7.47755009502432
"ZNF317",5.59729726055919,5.15237377129022,4.77248964499869
"ZNF699",4.76169449409717,3.48082754210608,4.04905405047373
"ZNF562",4.44669159404492,4.10973135280164,4.77248964499869
"ZNF846",4.04312272295644,4.54624760585208,3.48082754210608
"FBXL12",4.44669159404492,3.48082754210608,4.45565018125735
"UBL5",7.62500261942969,7.68906901793238,8.33863875117086
"PIN1",5.02009356627595,6.29030069184318,5.0321216312624
"C19orf66",5.88397211596874,5.90604956903415,5.89882800467142
"EIF3G",8.11488782123362,7.68906901793238,6.95807684073785
"DNMT1",4.44669159404492,4.10973135280164,4.04905405047373
"S1PR2",4.76169449409717,3.48082754210608,4.04905405047373
"MRPL4",4.76169449409717,6.17323145804348,4.04905405047373
"ICAM1",6.12301650389485,5.90604956903415,6.68338572932004
"ICAM3",7.06123589755846,7.73109607375254,8.15989596130091
"TYK2",5.42931587612097,4.88091111817509,6.34379405572357
"CDC37",6.0084396527514,5.75127484793027,6.82725912892822
"PDE4A",5.02009356627595,4.88091111817509,5.0321216312624
"KEAP1",4.04312272295644,4.10973135280164,3.48082754210608
"S1PR5",3.48082754210608,4.10973135280164,4.04905405047373
"ATG4D",5.02009356627595,5.57787780722941,5.76225821868372
"KRI1",5.23916589294564,4.54624760585208,3.48082754210608
"CDKN2D",7.7727289307663,8.12705593801163,8.64087579356419
"SLC44A2",5.88397211596874,4.88091111817509,6.02358031004547
"ILF3-DT",5.88397211596874,5.57787780722941,5.76225821868372
"ILF3",7.06123589755846,6.17323145804348,5.89882800467142
"QTRT1",4.44669159404492,4.10973135280164,4.04905405047373
"DNM2",5.59729726055919,4.88091111817509,6.52355884335602
"TMED1",4.04312272295644,3.48082754210608,4.04905405047373
"C19orf38",5.74774357290188,6.17323145804348,7.07801244681066
"CARM1",4.04312272295644,4.54624760585208,4.45565018125735
"YIPF2",4.04312272295644,3.48082754210608,4.77248964499869
"SMARCA4",4.76169449409717,4.88091111817509,4.77248964499869
"LDLR",4.44669159404492,5.15237377129022,4.04905405047373
"RAB3D",5.23916589294564,4.88091111817509,5.0321216312624
"TMEM205",5.02009356627595,5.75127484793027,4.04905405047373
"CCDC159",4.76169449409717,5.38075636542466,4.77248964499869
"PLPPR2",4.44669159404492,4.10973135280164,3.48082754210608
"SWSAP1",4.76169449409717,4.54624760585208,3.48082754210608
"PRKCSH",5.42931587612097,5.57787780722941,5.61139554019353
"ECSIT",5.02009356627595,4.54624760585208,4.04905405047373
"ELOF1",4.44669159404492,4.54624760585208,5.44289479092054
"ZNF844",4.04312272295644,4.54624760585208,5.44289479092054
"ZNF136",5.23916589294564,5.57787780722941,5.44289479092054
"ZNF44",5.42931587612097,5.38075636542466,5.0321216312624
"ZNF791",6.42054890480812,5.38075636542466,5.44289479092054
"MAN2B1",4.44669159404492,4.54624760585208,3.48082754210608
"WDR83",4.04312272295644,4.88091111817509,4.45565018125735
"WDR83OS",6.87758025613716,7.96039397540402,7.18873819124436
"DHPS",5.23916589294564,4.54624760585208,4.45565018125735
"TNPO2",4.44669159404492,4.10973135280164,3.48082754210608
"TRIR",7.87437367508383,7.96039397540402,7.07801244681066
"ASNA1",5.02009356627595,5.75127484793027,4.77248964499869
"JUNB",10.0706404444007,10.3423884299587,9.00096938434583
"PRDX2",4.76169449409717,6.49929514702503,4.04905405047373
"DNASE2",5.02009356627595,3.48082754210608,4.04905405047373
"CALR",6.42054890480812,6.7650800441311,6.13839840344629
"AC092069.1",3.48082754210608,4.10973135280164,4.04905405047373
"RAD23A",6.0084396527514,6.04581683429422,5.44289479092054
"GADD45GIP1",5.42931587612097,5.57787780722941,5.2520788307383
"NFIX",4.04312272295644,4.10973135280164,3.48082754210608
"LYL1",4.44669159404492,4.88091111817509,5.0321216312624
"TRMT1",5.59729726055919,5.38075636542466,4.45565018125735
"NACC1",4.04312272295644,3.48082754210608,4.04905405047373
"STX10",5.42931587612097,4.88091111817509,4.77248964499869
"IER2",9.04251415819285,9.11392947575568,9.13145935913911
"CCDC130",5.42931587612097,3.48082754210608,5.0321216312624
"C19orf53",7.46040582824618,7.55510154356781,6.82725912892822
"AC020916.1",6.50749437901301,5.75127484793027,5.2520788307383
"CC2D1A",5.02009356627595,3.48082754210608,4.04905405047373
"DCAF15",4.44669159404492,4.10973135280164,4.45565018125735
"RFX1",4.04312272295644,4.10973135280164,5.0321216312624
"IL27RA",5.59729726055919,5.15237377129022,5.0321216312624
"SAMD1",4.76169449409717,4.88091111817509,5.2520788307383
"PRKACA",6.12301650389485,5.90604956903415,5.2520788307383
"AC022098.1",4.04312272295644,3.48082754210608,4.04905405047373
"ADGRE5",6.50749437901301,7.05708256566736,7.98681309069419
"DDX39A",6.22915951780443,5.57787780722941,4.77248964499869
"PKN1",6.12301650389485,6.7650800441311,5.61139554019353
"DNAJB1",7.66337634622253,7.24285313188096,6.13839840344629
"TECR",6.0084396527514,6.49929514702503,6.34379405572357
"NDUFB7",6.42054890480812,6.39857908435901,6.43647455431806
"ZNF333",4.76169449409717,4.10973135280164,3.48082754210608
"ADGRE2",5.74774357290188,4.88091111817509,6.13839840344629
"BRD4",6.94143204317514,7.05708256566736,6.24474840414067
"AKAP8",5.74774357290188,4.88091111817509,4.77248964499869
"AKAP8L",5.23916589294564,4.88091111817509,5.44289479092054
"RASAL3",5.02009356627595,3.48082754210608,4.77248964499869
"CYP4F3",4.04312272295644,3.48082754210608,6.68338572932004
"TPM4",6.87758025613716,6.98943389654848,8.66022250320241
"RAB8A",5.02009356627595,5.38075636542466,5.76225821868372
"HSH2D",5.02009356627595,4.10973135280164,5.0321216312624
"FAM32A",5.59729726055919,6.17323145804348,7.18873819124436
"AP1M1",4.44669159404492,4.88091111817509,5.0321216312624
"AC020911.2",4.44669159404492,4.54624760585208,4.77248964499869
"KLF2",9.35539328521341,9.29294955027267,8.93895622847314
"EPS15L1",3.48082754210608,4.54624760585208,5.44289479092054
"CHERP",4.44669159404492,4.10973135280164,4.04905405047373
"SLC35E1",5.88397211596874,5.15237377129022,5.89882800467142
"AC008764.8",4.04312272295644,4.54624760585208,4.04905405047373
"MED26",4.44669159404492,4.10973135280164,5.0321216312624
"SMIM7",5.42931587612097,4.88091111817509,5.0321216312624
"SIN3B",4.04312272295644,3.48082754210608,4.45565018125735
"HAUS8",4.04312272295644,3.48082754210608,4.04905405047373
"MYO9B",7.06123589755846,7.18354829977047,6.75711516621442
"USE1",4.44669159404492,5.38075636542466,4.77248964499869
"OCEL1",4.04312272295644,4.10973135280164,4.04905405047373
"NR2F6",4.44669159404492,4.10973135280164,3.48082754210608
"BABAM1",4.76169449409717,5.57787780722941,5.44289479092054
"ABHD8",4.04312272295644,4.10973135280164,3.48082754210608
"MRPL34",4.76169449409717,5.15237377129022,3.48082754210608
"DDA1",5.59729726055919,5.90604956903415,6.02358031004547
"GTPBP3",4.76169449409717,3.48082754210608,4.04905405047373
"BST2",6.42054890480812,6.04581683429422,4.45565018125735
"BISPR",4.76169449409717,4.54624760585208,3.48082754210608
"MVB12A",4.04312272295644,4.10973135280164,4.04905405047373
"PGLS",7.27458251778023,7.9246200614143,6.75711516621442
"COLGALT1",4.76169449409717,5.57787780722941,4.77248964499869
"MAP1S",5.23916589294564,3.48082754210608,4.77248964499869
