"gene","logFC","logCPM","F","PValue","FDR"
"FUZ",2.57741355578499,4.46134902706728,1.8217243746387,0.177145682619957,0.712064097575973
"KIR3DX1",2.57741355578499,4.46134902706728,1.8217243746387,0.177145682619957,0.712064097575973
"NCR1",2.57741355578499,4.46134902706728,1.8217243746387,0.177145682619957,0.712064097575973
"PPARA",2.57741355578499,4.46134902706728,1.8217243746387,0.177145682619957,0.712064097575973
"RWDD2B",2.57741355578499,4.46134902706728,1.8217243746387,0.177145682619957,0.712064097575973
"AL606760.1",2.57741355578499,4.46134902706728,1.8217243746387,0.177145682619957,0.712064097575973
"AC098613.1",2.57741355578499,4.46134902706728,1.8217243746387,0.177145682619957,0.712064097575973
"RPL22L1",-0.788486439146635,7.41299357376915,1.82100651765879,0.17723105018552,0.712064097575973
"ACADVL",-1.11271780900046,5.62447103361241,1.82011420121114,0.177337203772443,0.712064097575973
"RPS15",-0.675582614259302,11.6337043559872,1.81598040193693,0.177829996991876,0.712064097575973
"RABL6",-1.46319390603999,5.11640934545481,1.81554544417524,0.177881918149153,0.712064097575973
"KHSRP",-1.20021362982657,5.45729764822058,1.8153578030725,0.177904338146572,0.712064097575973
"CLPP",-1.10731388395569,5.65320346145266,1.8152616955678,0.17791582372401,0.712064097575973
"DNAJC10",-1.45867045343331,5.13769293954766,1.81407459453979,0.178057695942116,0.712064097575973
"TMEM138",-1.45867045343331,5.13769293954766,1.81407459453979,0.178057695942116,0.712064097575973
"CXCL16",-0.791061526970427,7.16525467122082,1.81249516057838,0.178250987271783,0.712064097575973
"CEPT1",1.58374229099081,5.1060227556066,1.81158943187949,0.178355153485229,0.712064097575973
"ISCU",-0.776032580285826,7.41919416829843,1.81080282207141,0.178449439180405,0.712064097575973
"L1TD1",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"AC104506.1",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"ST7L",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"CENPL",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"AL031316.1",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
"AL391832.3",2.56617975330317,4.45546257918814,1.81007091487914,0.178537192177664,0.712064097575973
