"dataset","sample_id","group","S100A8","independent_score","antigen_score","monocyte_core_score","combined_score"
"GSE65682","GSM1602950","Sepsis",12.311204,1.13223488380981,1.27015537626454,1.13747503338009,-0.137920492454729
"GSE65682","GSM1602951","Sepsis",13.25766305,1.24976510523785,1.04314502862809,1.12637976427818,0.206620076609767
"GSE65682","GSM1602952","Sepsis",12.91721561,1.12125874688059,1.23868030247151,1.08997587491257,-0.117421555590915
"GSE65682","GSM1602953","Sepsis",12.93114648,1.17424233524794,1.0902001006825,0.974469405979474,0.0840422345654337
"GSE65682","GSM1602954","Healthy",11.2245834,0.987460985720364,1.30540736075499,1.036609496029,-0.317946375034625
"GSE65682","GSM1602955","Sepsis",12.51075056,1.17899495977439,1.21708209958376,1.11439726679712,-0.0380871398093749
"GSE65682","GSM1602956","Healthy",11.02787229,0.928885428653185,1.32112771535774,1.04776416552368,-0.392242286704559
"GSE65682","GSM1602957","Healthy",11.36170643,0.993699492476155,1.30207977502301,1.05411977564213,-0.308380282546859
"GSE65682","GSM1602958","Sepsis",13.18452388,1.24863404740318,1.08550633384851,1.03674996120958,0.163127713554679
"GSE65682","GSM1602959","Sepsis",12.80215413,1.09842568401193,1.23841109320372,1.11142522633081,-0.139985409191796
"GSE65682","GSM1602960","Healthy",11.20898249,0.952271560560074,1.30137515926014,1.01849330083714,-0.349103598700063
"GSE65682","GSM1602961","Healthy",10.86665488,0.932289933715593,1.29317649326044,1.02696657796648,-0.360886559544848
"GSE65682","GSM1602962","Healthy",10.7309928,0.897362898500902,1.32021286610871,1.049223346413,-0.422849967607808
"GSE65682","GSM1602963","Healthy",11.0562146,0.896106462016486,1.29374488543756,0.991313494370386,-0.397638423421071
"GSE65682","GSM1602964","Healthy",11.21409676,1.00490130914351,1.27776522334862,1.0433615808725,-0.272863914205109
"GSE65682","GSM1602965","Sepsis",12.84983318,1.0680574020981,1.26305826408152,1.06797061997603,-0.195000861983425
"GSE65682","GSM1602966","Healthy",11.9827349,1.04534540535408,1.29836855271864,1.05335076012952,-0.25302314736456
"GSE65682","GSM1602967","Sepsis",11.3557778,1.06343637977998,1.2078413581201,1.02210050191749,-0.144404978340123
"GSE65682","GSM1602968","Sepsis",13.15254296,1.15561607473203,1.24711478473809,1.00097146406222,-0.0914987100060531
"GSE65682","GSM1602969","Healthy",10.35426087,0.882290927086353,1.27395917818358,1.0238234855752,-0.39166825109723
"GSE65682","GSM1602970","Sepsis",12.40648193,1.19132635112829,1.11955359026475,1.09883186601789,0.0717727608635481
"GSE65682","GSM1602971","Sepsis",12.77652921,1.10158256022489,1.25848227499864,1.12116496697107,-0.156899714773751
"GSE65682","GSM1602972","Sepsis",12.64944844,1.15533064315416,1.15015108980689,1.11007748148124,0.00517955334727116
"GSE65682","GSM1602973","Sepsis",12.080136,0.837795060898554,1.17065141265404,0.967749426505909,-0.332856351755481
"GSE65682","GSM1602974","Sepsis",12.95166752,1.2220584032109,1.01728776698873,1.02499013327655,0.204770636222172
"GSE65682","GSM1602975","Sepsis",13.01820011,1.26032489588451,1.10056881935278,1.1258641526664,0.159756076531731
"GSE65682","GSM1602976","Sepsis",13.1321535,1.27206577599262,0.873459542462687,1.08412053459722,0.398606233529934
"GSE65682","GSM1691861","Sepsis",13.22147787,1.27054786485475,0.931293519350024,1.07105604870149,0.339254345504729
"GSE65682","GSM1691862","Sepsis",12.79445571,1.22834544943798,1.23964510171238,1.10726597378068,-0.0112996522744018
"GSE65682","GSM1691863","Sepsis",12.93576549,1.26276761477339,1.0190066226304,1.12871114340274,0.243760992142985
"GSE65682","GSM1691864","Sepsis",12.82496325,1.19793209817586,1.11957031549091,1.17196277576667,0.0783617826849485
"GSE65682","GSM1691865","Sepsis",13.12381258,1.27918452669448,0.813404428291896,1.07865228456767,0.465780098402583
"GSE65682","GSM1691866","Sepsis",12.79194928,1.24759840786359,1.13317163191227,1.17211894043657,0.114426775951321
"GSE65682","GSM1691867","Sepsis",12.88060792,1.12287478557771,1.09387048206777,1.10638683834011,0.0290043035099401
"GSE65682","GSM1691868","Sepsis",12.74568537,1.14100718476433,1.15020782187727,1.06159610620147,-0.00920063711294095
"GSE65682","GSM1691869","Sepsis",12.47168722,1.10830026137914,1.20853578965151,1.0924853569339,-0.100235528272366
"GSE65682","GSM1691870","Sepsis",12.69665455,1.13482560759632,1.15432188655324,1.1174324267031,-0.0194962789569171
"GSE65682","GSM1691871","Sepsis",13.06677351,1.28903651107506,0.676900559019432,1.13274546838732,0.612135952055624
"GSE65682","GSM1691873","Sepsis",13.0616991,1.18904520536525,1.22689457967853,1.15634909159854,-0.0378493743132799
"GSE65682","GSM1691874","Sepsis",12.44796083,1.19516403967903,1.11431561686125,1.02964665062135,0.0808484228177864
"GSE65682","GSM1691875","Sepsis",13.0435275,1.17917803258678,1.1658475602932,1.07343727626516,0.0133304722935743
"GSE65682","GSM1691876","Sepsis",12.9000184,1.20502000994989,1.14727150007285,1.13187629674902,0.0577485098770447
"GSE65682","GSM1691877","Sepsis",13.03393607,1.27677276015425,0.812213573473444,1.07859034104651,0.464559186680803
"GSE65682","GSM1691878","Sepsis",12.50820565,1.20061512977839,1.19725858277712,1.1665908616987,0.00335654700127552
"GSE65682","GSM1691879","Sepsis",12.60319137,1.11532286449915,1.17961506911626,1.11765967310305,-0.0642922046171039
"GSE65682","GSM1691880","Sepsis",12.79791974,1.19802200972651,1.03952294876125,1.09058204441958,0.158499060965262
"GSE65682","GSM1691881","Sepsis",12.85111596,1.15863026033902,1.2441042415241,1.14327773661286,-0.0854739811850771
"GSE65682","GSM1691882","Sepsis",13.18447196,1.28384841124172,0.780281005004121,1.02416361076338,0.503567406237597
"GSE65682","GSM1691883","Sepsis",12.50588363,1.09731466043649,1.22036367052561,1.13777431771935,-0.123049010089119
"GSE65682","GSM1691884","Sepsis",12.51523087,1.22158102287227,1.16122813682116,1.1245762238658,0.0603528860511093
