"gene","module"
"ARFGEF1","yellow"
"ARFGEF2","blue"
"ARFIP1","yellow"
"ARFIP2","grey"
"ARFRP1","grey"
"ARG1","black"
"ARG2","pink"
"ARGLU1","yellow"
"ARHGAP1","green"
"ARHGAP10","grey"
"ARHGAP11A ","brown"
"ARHGAP12","yellow"
"ARHGAP15","red"
"ARHGAP17","blue"
"ARHGAP18","grey"
"ARHGAP19","yellow"
"ARHGAP21","grey"
"ARHGAP24","yellow"
"ARHGAP25","green"
"ARHGAP26","red"
"ARHGAP27","green"
"ARHGAP29","grey"
"ARHGAP30","red"
"ARHGAP33","brown"
"ARHGAP4","red"
"ARHGAP5","blue"
"ARHGAP6","grey"
"ARHGAP8 ","pink"
"ARHGAP9","green"
"ARHGDIA","red"
"ARHGDIB","red"
"ARHGEF1","green"
"ARHGEF10L","brown"
"ARHGEF11","red"
"ARHGEF12","pink"
"ARHGEF16","brown"
"ARHGEF17","brown"
"ARHGEF18","turquoise"
"ARHGEF19","brown"
"ARHGEF2","green"
"ARHGEF3","blue"
"ARHGEF37","pink"
"ARHGEF4","brown"
"ARHGEF6","blue"
"ARHGEF7","grey"
"ARHGEF9","turquoise"
"ARID1A","green"
"ARID1B","blue"
"ARID2","yellow"
"ARID3A","red"
"ARID3B","red"
"ARID4A","yellow"
"ARID4B","yellow"
"ARID5A","red"
"ARID5B","grey"
"ARIH1","yellow"
"ARIH2","pink"
"ARL1","blue"
"ARL11","red"
"ARL13B","yellow"
"ARL15","grey"
"ARL16","turquoise"
"ARL17A","grey"
"ARL17A ","grey"
"ARL2","turquoise"
"ARL2 ","grey"
"ARL2BP","blue"
"ARL3","black"
"ARL4A","pink"
"ARL4C","turquoise"
"ARL5A","blue"
"ARL5B","yellow"
"ARL6IP1","yellow"
"ARL6IP4","turquoise"
"ARL6IP5","grey"
"ARL6IP6","yellow"
"ARL8A","black"
"ARL8B","yellow"
"ARMC1","blue"
"ARMC10","blue"
"ARMC5","brown"
"ARMC6","brown"
"ARMC7","grey"
"ARMC8","yellow"
"ARMCX3","yellow"
"ARMCX5","blue"
"ARMCX6 ","grey"
"ARNT","red"
"ARNTL","yellow"
"ARPC1A ","black"
"ARPC1B ","red"
"ARPC2","red"
"ARPC3","black"
"ARPC4","red"
"ARPC5","yellow"
"ARPC5L","grey"
"ARPP19","blue"
"ARRB1","turquoise"
"ARRB2","red"
"ARRDC1","green"
"ARRDC2","turquoise"
"ARRDC3","yellow"
"ARRDC4","yellow"
"ARRDC5","grey"
"ARSA","grey"
"ARSB","yellow"
"ARSD","red"
"ARSE","brown"
"ARSG","green"
"ART3","grey"
"ART5","brown"
"ARTN","brown"
"ARV1","blue"
"ASAH1","yellow"
"ASAP1","red"
"ASAP2","grey"
"ASB1","black"
"ASB10","brown"
"ASB13","turquoise"
"ASB16","brown"
"ASB3 ","blue"
"ASB4","brown"
"ASB6","grey"
"ASB7","yellow"
"ASB8","red"
"ASCC1","black"
"ASCC2","pink"
"ASCC3","blue"
"ASCL2","grey"
"ASF1A","blue"
"ASF1B","grey"
"ASGR1","grey"
"ASGR2","grey"
"ASH1L","green"
"ASH2L","grey"
"ASL","grey"
"ASMTL","grey"
"ASNA1","pink"
"ASNS","grey"
"ASNSD1","yellow"
"ASPDH","brown"
"ASPG","brown"
"ASPH","black"
"ASPHD2","grey"
"ASPM","grey"
"ASPRV1","green"
"ASPSCR1","brown"
"ASRGL1","turquoise"
"ASS1","turquoise"
"ASTE1","turquoise"
"ASTL","brown"
"ASXL1","pink"
"ASXL2","red"
"ATAD1","yellow"
"ATAD2","grey"
"ATAD2B","yellow"
"ATAD3A","brown"
"ATAD3A ","grey"
"ATAD3B ","brown"
"ATAD3C","brown"
"ATF1","yellow"
"ATF2","yellow"
"ATF4","grey"
"ATF5","grey"
"ATF6","red"
"ATF6B","grey"
"ATF6B ","grey"
"ATF7","black"
"ATF7IP","green"
"ATF7IP2","turquoise"
"ATG12","yellow"
"ATG16L1","blue"
"ATG16L2","green"
"ATG2A","green"
"ATG2B","yellow"
"ATG3","yellow"
"ATG4A","yellow"
"ATG4B","green"
"ATG4C","blue"
"ATG4C ","blue"
"ATG4D","pink"
"ATG5","yellow"
"ATG7","red"
"ATG9A","pink"
"ATHL1","green"
"ATIC","turquoise"
"ATL2","yellow"
"ATL3","yellow"
"ATM","blue"
"ATMIN","blue"
"ATN1","brown"
"ATOH8","brown"
"ATOX1","grey"
"ATP10A","grey"
"ATP10D","blue"
"ATP11A","yellow"
"ATP11B","black"
"ATP11C","yellow"
"ATP13A1","turquoise"
"ATP13A2","grey"
"ATP13A3","yellow"
"ATP13A5 ","turquoise"
"ATP1A1","turquoise"
"ATP1A3","brown"
"ATP1B1","grey"
"ATP1B2","brown"
"ATP1B3","blue"
"ATP2A2","grey"
"ATP2A3","green"
"ATP2B1","green"
"ATP2B4","red"
"ATP2C1","yellow"
"ATP2C2","black"
"ATP5A1","turquoise"
"ATP5B","pink"
"ATP5C1","black"
"ATP5D","turquoise"
"ATP5E","pink"
"ATP5E ","pink"
"ATP5F1","yellow"
"ATP5G1","turquoise"
"ATP5G2","turquoise"
"ATP5G3","turquoise"
"ATP5H","turquoise"
"ATP5I","turquoise"
"ATP5J","black"
"ATP5J2","grey"
"ATP5J2 ","grey"
"ATP5L","grey"
"ATP5O","turquoise"
"ATP5S","grey"
"ATP5SL","grey"
"ATP6AP1","red"
"ATP6AP2","yellow"
"ATP6V0A1","grey"
"ATP6V0A2","blue"
"ATP6V0B","red"
"ATP6V0C","pink"
"ATP6V0D1","red"
"ATP6V0E1","red"
"ATP6V0E2","turquoise"
"ATP6V1A","yellow"
"ATP6V1B2","green"
"ATP6V1C1","black"
"ATP6V1D","grey"
"ATP6V1E1","black"
"ATP6V1E2","grey"
"ATP6V1F","grey"
"ATP6V1G1","yellow"
"ATP6V1G2","brown"
"ATP6V1H","black"
"ATP7A","yellow"
"ATP8A1","blue"
"ATP8B2","turquoise"
"ATP8B4","black"
"ATP8B5P ","yellow"
"ATP9A","black"
"ATPAF1","yellow"
"ATPAF2","grey"
"ATPIF1","grey"
"ATR","blue"
"ATRN","turquoise"
"ATRX","green"
"ATXN1","yellow"
"ATXN10","blue"
"ATXN1L","yellow"
"ATXN2","green"
"ATXN2L","turquoise"
"ATXN3","blue"
"ATXN7","green"
"ATXN7L1","green"
"ATXN7L2","grey"
"ATXN7L3","red"
"ATXN7L3B","blue"
"AUH","yellow"
"AUP1","turquoise"
"AURKA","grey"
"AURKAIP1","red"
"AURKB","pink"
"AUTS2","turquoise"
"AVEN","turquoise"
"AVIL","green"
"AVL9","black"
"AXIN1","grey"
"AXIN2","brown"
"AZGP1P1 ","brown"
"AZI2","black"
"AZIN1","yellow"
"AZU1","grey"
"B3GALNT1","brown"
"B3GALNT2","blue"
"B3GALT4","red"
"B3GALT5","brown"
"B3GALT6","turquoise"
"B3GAT1","brown"
"B3GAT3","grey"
"B3GNT1","brown"
"B3GNT2","yellow"
"B3GNT3","brown"
"B3GNT5","black"
"B3GNT6","brown"
"B3GNT8","red"
"B3GNTL1","red"
"B4GALNT1","brown"
"B4GALT1","green"
"B4GALT2","brown"
"B4GALT3","pink"
"B4GALT4","black"
"B4GALT5","black"
"B9D1","brown"
"B9D2","red"
"BACE1","grey"
"BACE2","pink"
"BACH1","yellow"
"BACH2","turquoise"
"BAD","grey"
"BAG1","pink"
"BAG3","grey"
"BAG4","yellow"
"BAG5","blue"
"BAGE","grey"
"BAGE2 ","green"
"BAHD1","turquoise"
"BAI1","brown"
"BAIAP2","brown"
"BAIAP2L2","brown"
"BAIAP3","grey"
"BAK1","grey"
"BAMBI","grey"
"BANF1","turquoise"
"BANK1","blue"
"BANP","green"
"BANP ","blue"
"BARD1","grey"
"BASP1","red"
"BAT1","green"
"BAT2","red"
"BAT2L1","turquoise"
"BAT2L2","green"
"BAT3","pink"
"BAT4","red"
"BAT5","black"
"BATF","black"
"BATF2","grey"
"BATF3","grey"
"BAX","turquoise"
"BAZ1A","black"
"BAZ1B","turquoise"
"BAZ2A","green"
"BAZ2B","green"
"BBC3","green"
"BBS1","grey"
"BBS1 ","brown"
"BBS10","blue"
"BBS2","blue"
"BBS4","turquoise"
"BBX","green"
"BCAM","brown"
"BCAP29","yellow"
"BCAP31","red"
"BCAR1","brown"
"BCAS1","brown"
"BCAS2","blue"
"BCAS3","grey"
"BCAS4","brown"
"BCAT1","yellow"
"BCAT2","turquoise"
"BCCIP","blue"
"BCDIN3D","yellow"
"BCKDHA","grey"
"BCKDHB","blue"
"BCKDK","red"
"BCL10","yellow"
"BCL11A","turquoise"
"BCL11B","turquoise"
"BCL2","turquoise"
"BCL2A1","black"
"BCL2L1","pink"
"BCL2L11","green"
"BCL2L12","turquoise"
"BCL2L13","pink"
"BCL2L15","grey"
"BCL2L2","grey"
"BCL3","grey"
"BCL6","red"
"BCL7A","grey"
"BCL7B","yellow"
"BCL7C","turquoise"
"BCL9L","turquoise"
"BCLAF1","blue"
"BCMO1","brown"
"BCOR","blue"
"BCORL1","red"
"BCR","grey"
"BCS1L","turquoise"
"BDH2","blue"
"BDP1","blue"
"BECN1","yellow"
"BEND2","grey"
"BEND3","grey"
"BEND7","grey"
"BEST1","red"
"BET1","blue"
"BET1L","turquoise"
"BEX1","grey"
"BEX2","turquoise"
"BEX4","blue"
"BFAR","blue"
"BGN","brown"
"BHLHE40","grey"
"BICD2","green"
"BID","red"
"BIK","black"
"BIN1","turquoise"
"BIN2","red"
"BIN3","red"
"BIRC2","pink"
"BIRC3","turquoise"
"BIRC5","grey"
"BIRC6","green"
"BIRC7","brown"
"BLCAP","blue"
"BLK","turquoise"
"BLM","grey"
"BLMH","turquoise"
"BLNK","blue"
"BLOC1S1","black"
"BLOC1S2","yellow"
"BLOC1S3","green"
"BLVRA","turquoise"
"BLVRB","pink"
"BLZF1","yellow"
"BMF","brown"
"BMI1","blue"
"BMP1","brown"
"BMP2","grey"
"BMP2K","pink"
"BMP6","grey"
"BMP8B","grey"
"BMPR2","grey"
"BMS1","turquoise"
"BMX","black"
"BNIP1","grey"
"BNIP2","yellow"
"BNIP3","blue"
"BNIP3L","pink"
"BNIPL","brown"
"BOC","brown"
"BOD1","blue"
"BOD1L","yellow"
"BOK","brown"
"BOLA1","turquoise"
"BOLA2 ","blue"
"BOLA3","turquoise"
"BOP1 ","brown"
"BPGM","pink"
"BPI","black"
"BPNT1","grey"
"BPTF","green"
"BPTF ","green"
"BRAF","pink"
"BRAP","green"
"BRCA1","grey"
"BRCC3","blue"
"BRD1","blue"
"BRD2","green"
"BRD3","green"
"BRD4","pink"
"BRD7","blue"
"BRD8","yellow"
"BRD9","turquoise"
"BRE","red"
"BRF1","brown"
"BRF2","blue"
"BRI3","red"
"BRI3BP","turquoise"
"BRIX1","blue"
"BRMS1","green"
"BRP44","grey"
"BRP44L","blue"
"BRPF1","turquoise"
"BRPF3","grey"
"BRSK1","grey"
"BRSK2","brown"
"BRWD1","blue"
"BRWD3","yellow"
"BSCL2","grey"
"BSDC1","grey"
"BSG","pink"
"BST1","black"
"BST2","grey"
"BTAF1","blue"
"BTBD1","yellow"
"BTBD10","yellow"
"BTBD11","turquoise"
"BTBD12","grey"
"BTBD19 ","grey"
"BTBD2","brown"
"BTBD3","yellow"
"BTBD6","turquoise"
"BTBD7","red"
"BTD","grey"
"BTF3","pink"
"BTF3 ","pink"
"BTF3L4","yellow"
"BTG1","green"
"BTG2","grey"
"BTG3","blue"
"BTK","grey"
"BTLA","turquoise"
"BTN2A1","yellow"
"BTN2A2","blue"
"BTN2A3","brown"
"BTN3A1","turquoise"
"BTN3A1 ","turquoise"
"BTN3A2","turquoise"
"BTN3A3","turquoise"
"BTNL3","grey"
"BTNL8","grey"
"BTNL8 ","grey"
"BTNL9","brown"
"BTRC","grey"
"BUB1","grey"
"BUB3","blue"
"BUD13","grey"
"BUD31","grey"
"BZRAP1","brown"
"BZW1","yellow"
"BZW1 ","yellow"
"BZW2","blue"
"C10orf10","pink"
"C10orf11","grey"
"C10orf118","yellow"
"C10orf119","yellow"
"C10orf122","brown"
"C10orf125","turquoise"
"C10orf128","grey"
"C10orf137","blue"
"C10orf18","blue"
"C10orf2","turquoise"
"C10orf26","red"
"C10orf27","brown"
"C10orf28","yellow"
"C10orf32","turquoise"
"C10orf4","blue"
"C10orf46","red"
"C10orf47","grey"
"C10orf54","red"
"C10orf57","blue"
"C10orf58","turquoise"
"C10orf76","turquoise"
"C10orf78","blue"
"C10orf84","yellow"
"C10orf95","brown"
"C11orf1","turquoise"
"C11orf10","turquoise"
"C11orf17","grey"
"C11orf17 ","green"
"C11orf2","turquoise"
"C11orf21","blue"
"C11orf24","brown"
"C11orf30","yellow"
"C11orf31","turquoise"
"C11orf35","brown"
"C11orf46","blue"
"C11orf48","grey"
"C11orf49","brown"
"C11orf51","black"
"C11orf54","yellow"
"C11orf57","blue"
"C11orf58","yellow"
"C11orf59","black"
"C11orf61","turquoise"
"C11orf67","grey"
"C11orf68","grey"
"C11orf71","black"
"C11orf73","grey"
"C11orf74","brown"
"C11orf75","grey"
"C11orf82","black"
"C11orf83","turquoise"
"C11orf85","brown"
"C11orf86","brown"
"C11orf87","brown"
"C11orf90","grey"
"C12orf10","pink"
"C12orf11","blue"
"C12orf23","blue"
"C12orf24","blue"
"C12orf26","grey"
"C12orf29","blue"
"C12orf32","blue"
"C12orf35","yellow"
"C12orf39","grey"
"C12orf4","yellow"
"C12orf41","blue"
"C12orf43","turquoise"
"C12orf44","grey"
"C12orf45","turquoise"
"C12orf5","yellow"
"C12orf51","pink"
"C12orf52","turquoise"
"C12orf53","brown"
"C12orf57","turquoise"
"C12orf62","turquoise"
"C12orf65","blue"
"C12orf75","grey"
"C12orf76","grey"
"C13orf15","pink"
"C13orf18","green"
"C13orf23","yellow"
"C13orf27","blue"
"C13orf31","yellow"
"C13orf34","blue"
"C13orf37","blue"
"C14orf1","turquoise"
"C14orf101","black"
"C14orf102","red"
"C14orf106","blue"
"C14orf109","blue"
"C14orf118","green"
"C14orf119","grey"
"C14orf126","blue"
"C14orf129","yellow"
"C14orf135","blue"
"C14orf138","yellow"
"C14orf139","blue"
"C14orf142","blue"
"C14orf143","grey"
"C14orf147","yellow"
"C14orf153","grey"
"C14orf156","grey"
"C14orf159","green"
"C14orf166","blue"
"C14orf169","blue"
"C14orf180","brown"
"C14orf181","grey"
"C14orf2","black"
"C14orf21","brown"
"C14orf28","grey"
"C14orf37","brown"
"C14orf4","green"
"C14orf43","blue"
"C14orf45","pink"
"C14orf68","brown"
"C14orf80","brown"
"C14orf93","green"
"C15orf17","turquoise"
"C15orf23","grey"
"C15orf24","yellow"
"C15orf26","pink"
"C15orf29","grey"
"C15orf37","yellow"
"C15orf39","green"
"C15orf40","blue"
"C15orf44","blue"
"C15orf48","grey"
"C15orf5","black"
"C15orf52","grey"
"C15orf57","grey"
"C15orf58","brown"
"C15orf61","pink"
"C15orf63 ","turquoise"
"C16orf13","turquoise"
"C16orf42","grey"
"C16orf45","grey"
"C16orf5","brown"
"C16orf53","red"
"C16orf54","green"
"C16orf55","brown"
"C16orf57","red"
"C16orf58","turquoise"
"C16orf59","brown"
"C16orf61","grey"
"C16orf62","turquoise"
"C16orf63","blue"
"C16orf68","pink"
"C16orf7","red"
"C16orf70","grey"
"C16orf72","yellow"
"C16orf75","grey"
"C16orf79","brown"
"C16orf80","blue"
"C16orf87","yellow"
"C16orf88","turquoise"
"C16orf91","blue"
"C16orf92","brown"
"C16orf93","grey"
"C17orf101","grey"
