"gene","module","module_membership","gene_significance","gene_significance_p","gene_significance_FDR"
"EVX1","brown",0.716542693941738,0.113679621726125,0.00126060780947293,0.00201213060735675
"EVX2","brown",0.629161299710694,0.0835149686450876,0.0180030393577605,0.02446968432308
"EWSR1","blue",0.625856378017007,-0.384902098453671,1.01666218141997e-29,9.49343753311606e-29
"EXD3","grey",0.370429544475024,-0.0201840577281064,0.568154792843807,0.604028487465897
"EXO1","pink",0.584066821380673,0.0972643675898606,0.00583823829700441,0.00850656653022437
"EXOC1","yellow",0.876598556858988,-0.0626196937316442,0.0763383653743995,0.0943680700234797
"EXOC2","blue",0.621357524182212,-0.358915357325909,8.60579862826988e-26,6.39513976694323e-25
"EXOC3","red",0.514080154441085,0.0448407094176342,0.204609241970996,0.23635862751878
"EXOC4","grey",0.499364888035192,-0.161449317198202,4.3227596588699e-06,9.09650214442385e-06
"EXOC5","yellow",0.671396069264187,0.103432935892544,0.00336266844849807,0.00506713534112754
"EXOC6","black",0.760103222174774,0.381572840008515,3.39231963815628e-29,3.07698094733386e-28
"EXOC7","red",0.464780929644412,0.136408009924152,0.000106571029801703,0.000193089965715237
"EXOC8","yellow",0.879360190293418,0.00320691830736784,0.927749056396587,0.937185690191501
"EXOSC1","turquoise",0.621378313147944,-0.146914783986429,2.9568692466435e-05,5.69833098197914e-05
"EXOSC10","turquoise",0.854717647396048,-0.520800215208201,5.85675469676524e-57,3.83437476488223e-55
"EXOSC2","turquoise",0.60108930209618,-0.373865058316001,5.23697766138851e-28,4.44725660969652e-27
"EXOSC3","yellow",0.531045866450398,0.0365262229163219,0.301538591235481,0.338026664500536
"EXOSC4","black",0.844590693336562,0.382344424816482,2.56891525561068e-29,2.35012629824368e-28
"EXOSC5","turquoise",0.413785865729658,-0.231369062505594,3.30594780822583e-11,1.0295615829019e-10
"EXOSC6","blue",0.629615388498272,-0.395283342426658,2.16875600288416e-31,2.2652095898217e-30
"EXOSC7","turquoise",0.73264462198818,-0.348345339995023,2.70315107509226e-24,1.83641898255109e-23
"EXOSC8","blue",0.841419475036197,-0.322936795304436,6.36696201641327e-21,3.60979331738496e-20
"EXOSC9","turquoise",0.729320273483183,-0.392011355354519,7.4016110413159e-31,7.46467123865586e-30
"EXT1","red",0.684396712349501,0.293627235483933,2.06129451844594e-17,9.55172418413127e-17
"EXT2","blue",0.56954274995595,-0.322853459374801,6.52347591252225e-21,3.69495477133147e-20
"EXTL3","green",0.768711224965848,-0.0349643788212178,0.322694767164679,0.359473381787346
"EYA2","brown",0.790598196887059,0.127776697435483,0.000285822203092104,0.000494106859129129
"EYA3","grey",0.257173347701806,-0.180300690051095,2.74354011082518e-07,6.42345261202456e-07
"EZH1","green",0.754818321982411,-0.117749187999612,0.000834656388621295,0.00136382295290755
"EZH2","grey",0.527957918439811,-0.00519982147334211,0.88310976041817,0.897585713993108
"EZR","turquoise",0.506607037931866,-0.282935303406395,3.14627168267258e-16,1.36055933023026e-15
"F11R","green",0.704707301718085,-0.241948255583674,3.7946073348536e-12,1.26117423020843e-11
"F12","grey",0.0768442701373196,0.264673005113048,2.53594198662228e-14,9.66147728908535e-14
"F13A1","grey",-0.00867799999359765,0.0418386024969899,0.236601982789165,0.270352831153103
"F2","brown",0.761625021757553,0.164038518951962,3.01303690220718e-06,6.44339041185509e-06
"F2RL1","yellow",0.459010250408009,-0.125202222692364,0.000379215617548216,0.000647062874497312
"F2RL3","brown",0.528858892365338,0.144231441167251,4.13756401278295e-05,7.83836286223786e-05
"F5","red",0.736890015853779,0.441524939789607,1.35979515122781e-39,2.39270861520101e-38
"F8","black",0.634725597603933,0.206081432361739,3.85304425841174e-09,1.04017105884191e-08
"F8A1 ","green",0.548615539683715,-0.0694939307210496,0.0491428833270557,0.0627895169766426
"FA2H","brown",0.746177907145701,0.128936724281978,0.000251199686546292,0.000436831744566848
"FAAH","brown",0.766953050121428,0.0255503992588535,0.469946203974884,0.508540488661745
"FABP5","blue",0.367943202520558,0.0945433629408448,0.00737855147156651,0.0105915292375414
"FABP5 ","blue",0.462084696552115,0.0373103801587423,0.291272301462295,0.327300805526574
"FADD","red",0.637042194324219,0.23108527724159,3.49858657543287e-11,1.08897572582996e-10
"FADS1","grey",0.286107279547369,0.117043651227449,0.000897339991094515,0.00145953190223964
"FADS2","brown",0.735859639561949,0.0520524584151243,0.140803796107228,0.166961417239765
"FADS3","brown",0.631116533874606,-0.0206904580916255,0.558484303706671,0.594502457547323
"FAF1","turquoise",0.591044520502554,-0.325739518626379,2.80094140692636e-21,1.62014967165696e-20
"FAF2","yellow",0.725304291253735,-0.241197170942929,4.44028196244801e-12,1.46951890194657e-11
"FAH","grey",0.179134201182283,0.232738423455552,2.51277827813556e-11,7.90105946913621e-11
"FAHD1","pink",0.762404074036165,0.0561086865186183,0.112343252353445,0.135238887964049
"FAHD2A","turquoise",0.405971957228379,-0.166795861144011,2.03884955981008e-06,4.41650240137048e-06
"FAHD2A ","turquoise",0.585437117151184,-0.292409625105581,2.82811535152056e-17,1.29869450644473e-16
"FAIM2","brown",0.626439281083565,0.136540596367971,0.000104919175656598,0.000190332479801806
"FAIM3","turquoise",0.808742992692422,-0.481935595351508,7.09139614198452e-48,2.22203399432932e-46
"FAM100A","pink",0.753285302277639,0.0891444908959614,0.0115491377531932,0.016129703888651
"FAM100B","grey",-0.283974975947624,0.337817882790209,7.36627695785587e-23,4.67634884448066e-22
"FAM101B","red",0.309866151814611,0.0644966136464642,0.0679149459533722,0.0846877262851212
"FAM102A","turquoise",0.698185067774869,-0.639642981464192,1.72367324412649e-93,2.01997267479184e-90
"FAM102B","yellow",0.75456410725897,0.00528547482206988,0.881198452070554,0.895798461122035
"FAM103A1","yellow",0.731275632075501,-0.100402431109575,0.00442559417846929,0.00655090794208433
"FAM104A","pink",0.912373351810074,0.103025446784658,0.00349061232545487,0.00523770625377793
"FAM104B","pink",0.81874371849678,0.111261953475967,0.00160067869514156,0.00252433772417762
"FAM105A","black",0.758672754063532,0.263452554509049,3.36080207488855e-14,1.26967245375947e-13
"FAM105B","grey",0.3690980720102,-0.0371064947356854,0.293918752882118,0.329958220617448
"FAM107A","grey",-0.120681352154338,0.0944304822586395,0.00744967056817103,0.010680534547149
"FAM107B","black",0.476057166113838,-0.0126212881490078,0.721176692385374,0.749642510028757
"FAM108A1 ","turquoise",0.537993692046371,-0.274218089207439,2.66503529168306e-15,1.08744946320452e-14
"FAM108B1","blue",0.664327866232452,-0.256041083269137,1.80163013404946e-13,6.48841534754937e-13
"FAM108C1","yellow",0.320535563389231,0.113256599028679,0.00131483582432044,0.00209440818610999
"FAM109A","brown",0.641962000247929,-0.0748281885034507,0.0341098632960198,0.0444939323203536
"FAM10A4 ","pink",0.806549931724265,-0.090869685833327,0.0100324676335911,0.0141531826409117
"FAM110A","grey",0.0572928065925013,-0.2790792169207,8.17214953021613e-16,3.44246658319924e-15
"FAM110B","black",0.63332900578034,0.212270501736286,1.26830782717841e-09,3.55666413656468e-09
"FAM111A","blue",0.595173773382771,-0.235860248854374,1.33571976939361e-11,4.28153719297695e-11
"FAM113A","turquoise",0.807709211458801,-0.407657800647563,1.8415930945755e-33,2.15385523705891e-32
"FAM113B","turquoise",0.788262372436951,-0.495511778893383,6.45512220352952e-51,2.59067044873844e-49
"FAM114A1","grey",0.123209103878865,0.170827603640145,1.13859047885932e-06,2.5290261223943e-06
"FAM114A2","yellow",0.740241133459419,0.014667927559616,0.678314436209301,0.70911390525752
"FAM115C","brown",0.633891197956568,0.182299484181543,2.01210255329674e-07,4.76071670141016e-07
"FAM116A","yellow",0.814057782988216,-0.10101251917174,0.0041898898519109,0.00621929311900492
"FAM116B","brown",0.639451613074326,0.0203842063302515,0.564323105765243,0.600336099896776
"FAM117A","pink",0.885745157663689,-0.0209062396890588,0.55438802391452,0.590839691911083
"FAM117B","blue",0.707227111915855,-0.396391594085743,1.42652363342345e-31,1.50336604856919e-30
"FAM118A","turquoise",0.437657285365673,-0.289460060742795,6.04635985387435e-17,2.72423264619583e-16
"FAM118B","yellow",0.367055864718385,0.0295065348790181,0.404003921350275,0.442354662646349
"FAM119A","blue",0.531908390460271,-0.115236333717455,0.00107831363449175,0.00173725013508508
"FAM120A","green",0.619215014419639,-0.273452038068493,3.20383823848928e-15,1.30006164532049e-14
"FAM120AOS","yellow",0.404740384716009,0.0270330006644591,0.444563655174952,0.482929317296558
"FAM120B","green",0.624692500092471,-0.218594623585115,3.93267891402638e-10,1.1418995092536e-09
