"fold","strategy","algorithm","ROC_AUC","PR_AUC","sensitivity","specificity","balanced_accuracy","PPV","NPV","F1","MCC","Brier","calibration_slope"
"Fold4.Rep06","weighted","LASSO",0.999269005847953,0.999956859206933,0.993421052631579,1,0.996710526315789,1,0.9,0.996699669966997,0.945557479674515,0.0148369632490105,2.09913132020959
"Fold4.Rep06","weighted","glmBoost",0.999269005847953,0.999956859206933,0.940789473684211,1,0.970394736842105,1,0.5,0.969491525423729,0.685853291048534,0.0779571910266129,3.72914225475613
"Fold4.Rep06","weighted","Ranger",0.999269005847953,0.999956859206933,0.993421052631579,0.888888888888889,0.941154970760234,0.993421052631579,0.888888888888889,0.993421052631579,0.882309941520468,0.00466360248447205,2.02591483546984
"Fold4.Rep06","weighted","XGBoost",0.999269005847953,0.999956859206933,0.993421052631579,0.888888888888889,0.941154970760234,0.993421052631579,0.888888888888889,0.993421052631579,0.882309941520468,0.0103431331312891,0.900166715801033
"Fold5.Rep06","weighted","LASSO",0.999177631578947,0.999956859206933,0.967105263157895,1,0.983552631578947,1,0.615384615384615,0.983277591973244,0.771454276289177,0.0170942628818512,3.92946517862979
"Fold5.Rep06","weighted","glmBoost",1,1,0.960526315789474,1,0.980263157894737,1,0.571428571428571,0.979865771812081,0.740859082721625,0.0436670258944707,612.574223726303
"Fold5.Rep06","weighted","Ranger",0.998355263157895,0.999913433654095,0.993421052631579,0.875,0.934210526315789,0.993421052631579,0.875,0.993421052631579,0.868421052631579,0.006558275,1.56744398881351
"Fold5.Rep06","weighted","XGBoost",1,1,0.993421052631579,1,0.996710526315789,1,0.888888888888889,0.996699669966997,0.939702578304707,0.00432614515640072,389.152461567644
"Fold1.Rep07","weighted","LASSO",1,1,0.993421052631579,1,0.996710526315789,1,0.888888888888889,0.996699669966997,0.939702578304707,0.00864927798116862,30.7355549908984
"Fold1.Rep07","weighted","glmBoost",1,1,0.980263157894737,1,0.990131578947368,1,0.727272727272727,0.990033222591362,0.844345107338866,0.0176525404973782,24.9260063282991
"Fold1.Rep07","weighted","Ranger",1,1,1,1,1,1,1,1,1,0.0017914,22.1768434890266
"Fold1.Rep07","weighted","XGBoost",1,1,1,1,1,1,1,1,1,0.000444946570294661,12.0432054403649
"Fold2.Rep07","weighted","LASSO",1,1,1,1,1,1,1,1,1,0.00151039765566199,7.22416066079459
"Fold2.Rep07","weighted","glmBoost",1,1,0.986842105263158,1,0.993421052631579,1,0.8,0.993377483443709,0.888523316638638,0.0301774824295544,17.7696823151661
"Fold2.Rep07","weighted","Ranger",1,1,1,1,1,1,1,1,1,0.0001153,7.86713505045079
"Fold2.Rep07","weighted","XGBoost",1,1,1,1,1,1,1,1,1,0.00239446509777079,9.87575955344711
"Fold3.Rep07","weighted","LASSO",1,1,0.993421052631579,1,0.996710526315789,1,0.9,0.996699669966997,0.945557479674515,0.0047980933566319,26.8177392044933
"Fold3.Rep07","weighted","glmBoost",1,1,0.973684210526316,1,0.986842105263158,1,0.692307692307692,0.986666666666667,0.821029274037114,0.031920648201716,28.4701742077042
"Fold3.Rep07","weighted","Ranger",1,1,1,1,1,1,1,1,1,0.00208149068322981,19.923680913101
"Fold3.Rep07","weighted","XGBoost",1,1,1,1,1,1,1,1,1,0.00140888979721764,14.6390059015519
"Fold4.Rep07","weighted","LASSO",0.999177631578947,0.999956859206933,0.986842105263158,1,0.993421052631579,1,0.8,0.993377483443709,0.888523316638638,0.0121989286725482,3.53092647095672
"Fold4.Rep07","weighted","glmBoost",0.999177631578947,0.999956859206933,0.967105263157895,1,0.983552631578947,1,0.615384615384615,0.983277591973244,0.771454276289177,0.0726424451223353,7.04823796020958
"Fold4.Rep07","weighted","Ranger",1,1,1,0.875,0.9375,0.993464052287582,1,0.99672131147541,0.932352425723039,0.005567625,637.606249782193
"Fold4.Rep07","weighted","XGBoost",0.997532894736842,0.999870854960041,0.986842105263158,0.875,0.930921052631579,0.993377483443709,0.777777777777778,0.99009900990099,0.815238660648455,0.0137005790702762,0.912423207044111
"Fold5.Rep07","weighted","LASSO",1,1,0.986842105263158,1,0.993421052631579,1,0.818181818181818,0.993377483443709,0.898563446809731,0.00899727385849901,272.981245485588
"Fold5.Rep07","weighted","glmBoost",1,1,0.973684210526316,1,0.986842105263158,1,0.692307692307692,0.986666666666667,0.821029274037114,0.0204085202397645,203.009697002443
"Fold5.Rep07","weighted","Ranger",1,1,0.993421052631579,1,0.996710526315789,1,0.9,0.996699669966997,0.945557479674515,0.00617995031055901,32.5184212457579
"Fold5.Rep07","weighted","XGBoost",1,1,0.986842105263158,1,0.993421052631579,1,0.818181818181818,0.993377483443709,0.898563446809731,0.00653942526218022,24.9072160213167
"Fold1.Rep08","weighted","LASSO",0.999269005847953,0.999956859206933,0.993421052631579,1,0.996710526315789,1,0.9,0.996699669966997,0.945557479674515,0.00976766243997143,2.80276305007845
"Fold1.Rep08","weighted","glmBoost",1,1,0.993421052631579,1,0.996710526315789,1,0.9,0.996699669966997,0.945557479674515,0.0165390962815614,82.3935751810505
"Fold1.Rep08","weighted","Ranger",1,1,1,1,1,1,1,1,1,0.00187090683229814,34.2437804224017
"Fold1.Rep08","weighted","XGBoost",1,1,1,1,1,1,1,1,1,0.00294780810972757,17.290686460743
"Fold2.Rep08","weighted","LASSO",1,1,1,1,1,1,1,1,1,0.00185841441255966,19.0704877515541
"Fold2.Rep08","weighted","glmBoost",1,1,1,1,1,1,1,1,1,0.0159148683609618,31.945743154099
"Fold2.Rep08","weighted","Ranger",1,1,1,0.875,0.9375,0.993464052287582,1,0.99672131147541,0.932352425723039,0.005942,48.2039252525576
"Fold2.Rep08","weighted","XGBoost",1,1,1,0.875,0.9375,0.993464052287582,1,0.99672131147541,0.932352425723039,0.0052769735352937,26.8949098179707
"Fold3.Rep08","weighted","LASSO",0.999177631578947,0.999956859206933,0.986842105263158,1,0.993421052631579,1,0.8,0.993377483443709,0.888523316638638,0.0120278788885671,13.8571626347622
"Fold3.Rep08","weighted","glmBoost",1,1,0.967105263157895,1,0.983552631578947,1,0.615384615384615,0.983277591973244,0.771454276289177,0.0368390845746619,671.864826304556
"Fold3.Rep08","weighted","Ranger",1,1,1,0.875,0.9375,0.993464052287582,1,0.99672131147541,0.932352425723039,0.00340490625,60.3653405977168
"Fold3.Rep08","weighted","XGBoost",0.999177631578947,0.999956859206933,1,0.875,0.9375,0.993464052287582,1,0.99672131147541,0.932352425723039,0.006656337334298,3.07177708648829
"Fold4.Rep08","weighted","LASSO",1,1,0.973684210526316,1,0.986842105263158,1,0.666666666666667,0.986666666666667,0.805681579172283,0.0129362346750008,277.177652507623
"Fold4.Rep08","weighted","glmBoost",1,1,0.973684210526316,1,0.986842105263158,1,0.666666666666667,0.986666666666667,0.805681579172283,0.0622126385692143,119.399003355271
