"fold","strategy","algorithm","ROC_AUC","PR_AUC","sensitivity","specificity","balanced_accuracy","PPV","NPV","F1","MCC","Brier","calibration_slope"
"Fold3.Rep06","unweighted","Ranger",1,1,1,1,1,1,1,1,1,0.00213932919254658,18.4605986023058
"Fold3.Rep06","unweighted","XGBoost",1,1,1,1,1,1,1,1,1,0.0035736977393041,22.7334152798968
"Fold4.Rep06","unweighted","LASSO",1,1,1,0.888888888888889,0.944444444444444,0.993464052287582,1,0.99672131147541,0.939722915326088,0.00302645263026752,38.6846481746342
"Fold4.Rep06","unweighted","glmBoost",1,1,1,0.888888888888889,0.944444444444444,0.993464052287582,1,0.99672131147541,0.939722915326088,0.00856162977217982,96.3600347109268
"Fold4.Rep06","unweighted","Ranger",0.999269005847953,0.999956859206933,0.993421052631579,0.888888888888889,0.941154970760234,0.993421052631579,0.888888888888889,0.993421052631579,0.882309941520468,0.00821450931677019,1.01196525788044
"Fold4.Rep06","unweighted","XGBoost",0.999269005847953,0.999956859206933,0.993421052631579,0.888888888888889,0.941154970760234,0.993421052631579,0.888888888888889,0.993421052631579,0.882309941520468,0.00990805525742631,1.00675639767977
"Fold5.Rep06","unweighted","LASSO",0.999177631578947,0.999956859206933,1,0.875,0.9375,0.993464052287582,1,0.99672131147541,0.932352425723039,0.00740428840014937,2.2426607833574
"Fold5.Rep06","unweighted","glmBoost",0.998355263157895,0.999913433654095,1,0.875,0.9375,0.993464052287582,1,0.99672131147541,0.932352425723039,0.00710925276129666,2.47426930726707
"Fold5.Rep06","unweighted","Ranger",0.998355263157895,0.999913433654095,1,0.875,0.9375,0.993464052287582,1,0.99672131147541,0.932352425723039,0.006572075,2.05909007065834
"Fold5.Rep06","unweighted","XGBoost",0.999177631578947,0.999956859206933,1,0.875,0.9375,0.993464052287582,1,0.99672131147541,0.932352425723039,0.00403703469344814,1.99968890877845
"Fold1.Rep07","unweighted","LASSO",1,1,1,0.875,0.9375,0.993464052287582,1,0.99672131147541,0.932352425723039,0.00841494385824216,117.543285255677
"Fold1.Rep07","unweighted","glmBoost",1,1,1,1,1,1,1,1,1,0.00353387826025069,23.6898648071565
"Fold1.Rep07","unweighted","Ranger",1,1,1,0.875,0.9375,0.993464052287582,1,0.99672131147541,0.932352425723039,0.00329782643055556,49.1638721853643
"Fold1.Rep07","unweighted","XGBoost",1,1,1,0.875,0.9375,0.993464052287582,1,0.99672131147541,0.932352425723039,0.00241530789300636,18.6674728084773
"Fold2.Rep07","unweighted","LASSO",1,1,1,1,1,1,1,1,1,0.00164890564153562,13.8398644083061
"Fold2.Rep07","unweighted","glmBoost",1,1,1,1,1,1,1,1,1,0.00337453631363447,15.8098419067205
"Fold2.Rep07","unweighted","Ranger",1,1,1,1,1,1,1,1,1,0.000951712999999999,13.0124344394388
"Fold2.Rep07","unweighted","XGBoost",1,1,1,1,1,1,1,1,1,0.00241194491452961,11.9134356161084
"Fold3.Rep07","unweighted","LASSO",1,1,1,1,1,1,1,1,1,0.00147171244761802,18.1303701529476
"Fold3.Rep07","unweighted","glmBoost",1,1,1,1,1,1,1,1,1,0.00559192013566214,60.0160114816778
"Fold3.Rep07","unweighted","Ranger",1,1,1,1,1,1,1,1,1,0.00350206211180124,26.6433682464094
"Fold3.Rep07","unweighted","XGBoost",1,1,1,1,1,1,1,1,1,0.000879438363757546,16.0637854204892
"Fold4.Rep07","unweighted","LASSO",0.999177631578947,0.999956859206933,1,0.375,0.6875,0.968152866242038,1,0.983818770226537,0.60254238426916,0.0142281760015679,19.8343025910807
"Fold4.Rep07","unweighted","glmBoost",1,1,1,0.75,0.875,0.987012987012987,1,0.993464052287582,0.86038348441828,0.0107130754200795,144.297450803792
"Fold4.Rep07","unweighted","Ranger",0.997532894736842,0.999870854960041,0.993421052631579,0.75,0.871710526315789,0.986928104575163,0.857142857142857,0.99016393442623,0.79214905343386,0.0107103480069444,1.17472365386994
"Fold4.Rep07","unweighted","XGBoost",0.997532894736842,0.999870854960041,0.993421052631579,0.875,0.934210526315789,0.993421052631579,0.875,0.993421052631579,0.868421052631579,0.0127435203819479,1.62459310424933
"Fold5.Rep07","unweighted","LASSO",1,1,1,0.888888888888889,0.944444444444444,0.993464052287582,1,0.99672131147541,0.939722915326088,0.00409867710830574,72.6755642470976
"Fold5.Rep07","unweighted","glmBoost",1,1,1,0.888888888888889,0.944444444444444,0.993464052287582,1,0.99672131147541,0.939722915326088,0.00784566646971225,143.765287428116
"Fold5.Rep07","unweighted","Ranger",1,1,1,1,1,1,1,1,1,0.00533863354037267,45.2236490179152
"Fold5.Rep07","unweighted","XGBoost",1,1,1,1,1,1,1,1,1,0.00223166033224106,27.4080958752972
"Fold1.Rep08","unweighted","LASSO",1,1,1,1,1,1,1,1,1,0.000803565236096076,9.21117867197079
"Fold1.Rep08","unweighted","glmBoost",1,1,1,1,1,1,1,1,1,0.00284175529442142,24.5295204235644
"Fold1.Rep08","unweighted","Ranger",1,1,1,0.888888888888889,0.944444444444444,0.993464052287582,1,0.99672131147541,0.939722915326088,0.00303532444444444,44.6505965429599
"Fold1.Rep08","unweighted","XGBoost",1,1,1,0.888888888888889,0.944444444444444,0.993464052287582,1,0.99672131147541,0.939722915326088,0.00371535519909035,21.0063043168081
"Fold2.Rep08","unweighted","LASSO",1,1,1,0.75,0.875,0.987012987012987,1,0.993464052287582,0.86038348441828,0.00606571118106055,21.7472692219768
"Fold2.Rep08","unweighted","glmBoost",1,1,1,0.75,0.875,0.987012987012987,1,0.993464052287582,0.86038348441828,0.0112656627778263,65.7055009389475
"Fold2.Rep08","unweighted","Ranger",1,1,1,0.75,0.875,0.987012987012987,1,0.993464052287582,0.86038348441828,0.0085379,79.5092439500612
"Fold2.Rep08","unweighted","XGBoost",1,1,1,0.75,0.875,0.987012987012987,1,0.993464052287582,0.86038348441828,0.00897875534451544,20.4538281538068
"Fold3.Rep08","unweighted","LASSO",1,1,1,0.875,0.9375,0.993464052287582,1,0.99672131147541,0.932352425723039,0.00491047218249227,129.667986803994
"Fold3.Rep08","unweighted","glmBoost",1,1,1,0.875,0.9375,0.993464052287582,1,0.99672131147541,0.932352425723039,0.00644942308556393,89.5297906480246
"Fold3.Rep08","unweighted","Ranger",0.998355263157895,0.999913433654095,1,0.875,0.9375,0.993464052287582,1,0.99672131147541,0.932352425723039,0.006842975,1.55578059248498
"Fold3.Rep08","unweighted","XGBoost",0.999177631578947,0.999956859206933,1,0.875,0.9375,0.993464052287582,1,0.99672131147541,0.932352425723039,0.00605427807140418,3.76729088951014
"Fold4.Rep08","unweighted","LASSO",1,1,0.993421052631579,1,0.996710526315789,1,0.888888888888889,0.996699669966997,0.939702578304707,0.00264638621577743,24.8450162419102
"Fold4.Rep08","unweighted","glmBoost",1,1,1,1,1,1,1,1,1,0.00427868080346149,24.8129136653851
"Fold4.Rep08","unweighted","Ranger",1,1,0.986842105263158,1,0.993421052631579,1,0.8,0.993377483443709,0.888523316638638,0.00716405,45.8362264391738
"Fold4.Rep08","unweighted","XGBoost",1,1,0.993421052631579,1,0.996710526315789,1,0.888888888888889,0.996699669966997,0.939702578304707,0.00670769524162506,161.778038900396
"Fold5.Rep08","unweighted","LASSO",1,1,1,0.666666666666667,0.833333333333333,0.980645161290323,1,0.990228013029316,0.808556393123086,0.00991909921289323,66.8570237979203
"Fold5.Rep08","unweighted","glmBoost",1,1,1,1,1,1,1,1,1,0.00534889772315519,37.1238284765239
"Fold5.Rep08","unweighted","Ranger",1,1,1,1,1,1,1,1,1,0.00288628571428571,21.2906615845092
"Fold5.Rep08","unweighted","XGBoost",1,1,1,1,1,1,1,1,1,0.00114627377314667,14.8890452040035
"Fold1.Rep09","unweighted","LASSO",0.999269005847953,0.999956859206933,1,0.888888888888889,0.944444444444444,0.993464052287582,1,0.99672131147541,0.939722915326088,0.00560951194300176,1.82769871330203
"Fold1.Rep09","unweighted","glmBoost",0.999269005847953,0.999956859206933,1,0.888888888888889,0.944444444444444,0.993464052287582,1,0.99672131147541,0.939722915326088,0.00885404916032493,3.06857080287921
"Fold1.Rep09","unweighted","Ranger",0.997076023391813,0.999827140863208,0.993421052631579,0.777777777777778,0.885599415204678,0.986928104575163,0.875,0.99016393442623,0.815302364859394,0.00984154037267081,1.63898793447055
"Fold1.Rep09","unweighted","XGBoost",0.99780701754386,0.999870854960041,0.993421052631579,0.777777777777778,0.885599415204678,0.986928104575163,0.875,0.99016393442623,0.815302364859394,0.0099364983844535,1.29359465557326
"Fold2.Rep09","unweighted","LASSO",0.998355263157895,0.999914280512879,1,0.75,0.875,0.987012987012987,1,0.993464052287582,0.86038348441828,0.00741312659430157,3.40758727028863
"Fold2.Rep09","unweighted","glmBoost",1,1,1,0.75,0.875,0.987012987012987,1,0.993464052287582,0.86038348441828,0.00918728958725987,151.536266260543
"Fold2.Rep09","unweighted","Ranger",0.997532894736842,0.999869719557262,1,0.875,0.9375,0.993464052287582,1,0.99672131147541,0.932352425723039,0.008207975,1.46013550698313
"Fold2.Rep09","unweighted","XGBoost",1,1,1,0.875,0.9375,0.993464052287582,1,0.99672131147541,0.932352425723039,0.00771815174435303,82.3197385010856
"Fold3.Rep09","unweighted","LASSO",1,1,1,1,1,1,1,1,1,0.00124182552791791,11.5045737195893
"Fold3.Rep09","unweighted","glmBoost",1,1,1,1,1,1,1,1,1,0.0047333203711751,22.2669871891818
"Fold3.Rep09","unweighted","Ranger",1,1,1,1,1,1,1,1,1,0.0003946,9.34356301982577
"Fold3.Rep09","unweighted","XGBoost",1,1,1,1,1,1,1,1,1,0.00219371557982867,10.3854643342858
"Fold4.Rep09","unweighted","LASSO",1,1,1,1,1,1,1,1,1,0.000753632467986674,13.2111998547347
"Fold4.Rep09","unweighted","glmBoost",1,1,1,1,1,1,1,1,1,0.00272839015158163,18.5474353589181
"Fold4.Rep09","unweighted","Ranger",1,1,1,1,1,1,1,1,1,0.00238268322981366,19.8722138883797
"Fold4.Rep09","unweighted","XGBoost",1,1,1,1,1,1,1,1,1,0.000293007341800419,9.87914076416271
"Fold5.Rep09","unweighted","LASSO",1,1,1,1,1,1,1,1,1,0.00139522017353057,18.3039103973225
"Fold5.Rep09","unweighted","glmBoost",1,1,1,1,1,1,1,1,1,0.00271031163823543,23.2458809375603
"Fold5.Rep09","unweighted","Ranger",1,1,0.993421052631579,1,0.996710526315789,1,0.888888888888889,0.996699669966997,0.939702578304707,0.003310225,34.3938651816315
"Fold5.Rep09","unweighted","XGBoost",1,1,0.993421052631579,1,0.996710526315789,1,0.888888888888889,0.996699669966997,0.939702578304707,0.00565892658387308,41.462053391169
"Fold1.Rep10","unweighted","LASSO",1,1,1,0.777777777777778,0.888888888888889,0.987012987012987,1,0.993464052287582,0.876171654230361,0.00953122427887564,21.9550147218851
"Fold1.Rep10","unweighted","glmBoost",1,1,1,1,1,1,1,1,1,0.00438235664364027,18.8893569762025
"Fold1.Rep10","unweighted","Ranger",1,1,1,1,1,1,1,1,1,0.00200057142857143,14.212929662823
"Fold1.Rep10","unweighted","XGBoost",1,1,1,1,1,1,1,1,1,0.000365517729458692,8.41083510870033
"Fold2.Rep10","unweighted","LASSO",0.999269005847953,0.999956859206933,0.986842105263158,1,0.993421052631579,1,0.818181818181818,0.993377483443709,0.898563446809731,0.00736452245564114,1.76407464247017
