"fold","strategy","algorithm","gene","importance","rank","selected"
"Fold1.Rep01","unweighted","Ranger","ABHD15",0.000214654006149396,74,FALSE
"Fold1.Rep01","unweighted","Ranger","BCKDHB",0.00019551892880017,75,FALSE
"Fold1.Rep01","unweighted","Ranger","GLOD4",0.000191487918250691,76,FALSE
"Fold1.Rep01","unweighted","Ranger","RABL2A",0.000185166319111618,77,FALSE
"Fold1.Rep01","unweighted","Ranger","SIDT1",0.000161056670833132,78,FALSE
"Fold1.Rep01","unweighted","Ranger","TIGIT",0.000148256136609169,79,FALSE
"Fold1.Rep01","unweighted","Ranger","DCAF16",0.000141510630462543,80,FALSE
"Fold1.Rep01","unweighted","Ranger","INPP4B",0.000134519771857837,81,FALSE
"Fold1.Rep01","unweighted","Ranger","POLR1B",0.000123317851875956,82,FALSE
"Fold1.Rep01","unweighted","Ranger","NUP160",0.000123282457286791,83,FALSE
"Fold1.Rep01","unweighted","Ranger","FBXO21",0.000122712550993848,84,FALSE
"Fold1.Rep01","unweighted","Ranger","GAL3ST4",0.000119966399874779,85,FALSE
"Fold1.Rep01","unweighted","Ranger","PARP1",0.000107268882614556,86,FALSE
"Fold1.Rep01","unweighted","Ranger","FANCF",8.59679850757691e-05,87,FALSE
"Fold1.Rep01","unweighted","Ranger","DDHD2",8.5402292606074e-05,88,FALSE
"Fold1.Rep01","unweighted","Ranger","HEATR2",5.8448532737611e-05,89,FALSE
"Fold1.Rep01","unweighted","Ranger","NAT10",5.83419297306518e-05,90,FALSE
"Fold1.Rep01","unweighted","Ranger","STMN3",5.79959551074716e-05,91,FALSE
"Fold1.Rep01","unweighted","Ranger","ZNHIT6",5.33590388896341e-05,92,FALSE
"Fold1.Rep01","unweighted","Ranger","ANAPC1",5.28792017749733e-05,93,FALSE
"Fold1.Rep01","unweighted","Ranger","SYNJ2BP",5.13359341720747e-05,94,FALSE
"Fold1.Rep01","unweighted","Ranger","ZNF549",4.17757125235767e-05,95,FALSE
"Fold1.Rep01","unweighted","Ranger","BACH2",9.01467128773326e-06,96,FALSE
"Fold1.Rep01","unweighted","Ranger","FAM50B",8.3333333333333e-06,97,FALSE
"Fold1.Rep01","unweighted","Ranger","SLC7A6",0,98,FALSE
"Fold1.Rep01","unweighted","Ranger","KIAA1147",-9.1181056052867e-06,99,FALSE
"Fold1.Rep01","unweighted","Ranger","Septin 1",-2.49126236612831e-05,100,FALSE
"Fold1.Rep01","unweighted","XGBoost","C5orf32",0.200285478718691,1,TRUE
"Fold1.Rep01","unweighted","XGBoost","S100A8",0.198555597655398,2,TRUE
"Fold1.Rep01","unweighted","XGBoost","ANXA3",0.157447997587658,3,TRUE
"Fold1.Rep01","unweighted","XGBoost","C19orf59",0.136462562943416,4,TRUE
"Fold1.Rep01","unweighted","XGBoost","S100A12",0.129649129792231,5,TRUE
"Fold1.Rep01","unweighted","XGBoost","FBXL16",0.0253452626865837,6,TRUE
"Fold1.Rep01","unweighted","XGBoost","TRA@",0.0231554206144067,7,TRUE
"Fold1.Rep01","unweighted","XGBoost","GATA3",0.0231206062798273,8,TRUE
"Fold1.Rep01","unweighted","XGBoost","P2RY10",0.0164250643819734,9,TRUE
