"sample_id","group","array_median","array_IQR","missing_fraction","S100A8","duplicate_sample_id","label_supported_by_title"
"GSM1602889","Sepsis",4.0677976165,3.17378809025,0,13.26813684,FALSE,TRUE
"GSM1602890","Sepsis",4.051741,3.26194777425,0,13.30283092,FALSE,TRUE
"GSM1602891","Normal",3.9793065815,3.023821059,0,10.82068746,FALSE,TRUE
"GSM1602892","Normal",3.93487624,2.90769692225,0,11.92487393,FALSE,TRUE
"GSM1602893","Normal",3.9848022025,2.94862780825,0,11.66657073,FALSE,TRUE
"GSM1602894","Normal",4.065153308,3.034818811,0,10.47469604,FALSE,TRUE
"GSM1602895","Normal",4.194359291,3.1210334365,0,11.4108261,FALSE,TRUE
"GSM1602896","Normal",4.226417573,3.125775619,0,10.455185,FALSE,TRUE
"GSM1602897","Normal",4.0669967835,3.0026688225,0,10.43202309,FALSE,TRUE
"GSM1602898","Normal",4.0191929995,2.9834039245,0,11.18032023,FALSE,TRUE
"GSM1602899","Normal",4.1322868765,3.10411586725,0,11.63740667,FALSE,TRUE
"GSM1602900","Normal",4.11241464,3.10180053325,0,11.35338196,FALSE,TRUE
"GSM1602901","Normal",4.112925992,3.06486056925,0,10.40515466,FALSE,TRUE
"GSM1602902","Sepsis",4.0126126035,3.27858745775,0,13.26638116,FALSE,TRUE
"GSM1602903","Sepsis",3.711269183,2.5219576405,0,12.78619827,FALSE,TRUE
"GSM1602904","Sepsis",3.894553383,3.036451642,0,12.95183031,FALSE,TRUE
"GSM1602905","Sepsis",4.130518584,3.151160469,0,12.61262611,FALSE,TRUE
"GSM1602906","Sepsis",3.9888158045,3.2721737585,0,12.73959847,FALSE,TRUE
"GSM1602907","Sepsis",3.91003826,3.005760852,0,12.34463411,FALSE,TRUE
"GSM1602908","Sepsis",3.862778825,2.83966523975,0,13.14834672,FALSE,TRUE
"GSM1602909","Normal",4.0671078065,2.95418812525,0,10.32253329,FALSE,TRUE
"GSM1602910","Normal",3.9229081775,2.8052576685,0,10.73280694,FALSE,TRUE
"GSM1602911","Normal",4.0142480005,3.01352195275,0,11.22695126,FALSE,TRUE
"GSM1602912","Sepsis",3.629520484,2.64077996075,0,12.86559486,FALSE,TRUE
"GSM1602913","Normal",4.0727043295,2.9838925345,0,10.80613065,FALSE,TRUE
"GSM1602914","Normal",4.0188508205,2.96586921025,0,10.54185232,FALSE,TRUE
"GSM1602915","Normal",4.0295578285,2.9617984335,0,10.72971178,FALSE,TRUE
"GSM1602916","Normal",3.999398969,2.8969063195,0,10.2710467,FALSE,TRUE
"GSM1602917","Normal",3.9577176525,2.94647538575,0,11.96515385,FALSE,TRUE
"GSM1602918","Sepsis",3.9493319945,2.93008231125,0,12.51255437,FALSE,TRUE
"GSM1602919","Sepsis",4.1240343995,3.193221917,0,13.11321149,FALSE,TRUE
"GSM1602920","Normal",4.18177672,3.0891551925,0,11.31896658,FALSE,TRUE
"GSM1602921","Sepsis",3.8716994875,3.07693039675,0,12.62879501,FALSE,TRUE
"GSM1602922","Sepsis",3.9493725315,3.1609637065,0,13.11601651,FALSE,TRUE
"GSM1602923","Sepsis",4.158038203,3.19804012675,0,13.42945454,FALSE,TRUE
"GSM1602924","Sepsis",4.118468746,3.25730184175,0,13.36787923,FALSE,TRUE
"GSM1602925","Sepsis",3.903952545,3.1839974285,0,13.19513388,FALSE,TRUE
"GSM1602926","Sepsis",3.7999491985,2.66464472175,0,12.94496943,FALSE,TRUE
"GSM1602927","Sepsis",3.937748034,3.2943459655,0,13.17733026,FALSE,TRUE
"GSM1602928","Sepsis",4.058532084,3.258682518,0,13.23244393,FALSE,TRUE
"GSM1602929","Sepsis",3.8216814625,3.041953697,0,12.92239828,FALSE,TRUE
"GSM1602930","Sepsis",3.979073748,3.174618758,0,12.40590781,FALSE,TRUE
"GSM1602931","Sepsis",3.7680133155,2.765846038,0,12.94045134,FALSE,TRUE
"GSM1602932","Sepsis",4.2168780865,3.3288503745,0,13.32095781,FALSE,TRUE
