"metric","value"
"Standardized mean difference",5.44151816055865
"Standardized mean difference",5.92536789728791
"Standardized mean difference",5.77304729764489
"Standardized mean difference",5.63197108048861
"Standardized mean difference",5.87175614485038
"Standardized mean difference",5.63961013672658
"Standardized mean difference",6.11332307701135
"Standardized mean difference",6.59165103045581
"Standardized mean difference",5.90905132492749
"Standardized mean difference",6.32043688374395
"Standardized mean difference",7.18169102794944
"Standardized mean difference",5.97997104170291
"Standardized mean difference",5.23448082616409
"Standardized mean difference",6.04774816511523
"Standardized mean difference",6.4613664117392
"Standardized mean difference",5.74440639302143
"Standardized mean difference",5.90845181688154
"Standardized mean difference",6.2715238327463
"Standardized mean difference",5.55304148325384
"Standardized mean difference",5.57288079212612
"Standardized mean difference",5.71606290147482
"Standardized mean difference",6.09592919460459
"Standardized mean difference",5.89944870488618
"Standardized mean difference",6.20804237639173
"Standardized mean difference",5.75697608643702
"Standardized mean difference",5.73355262199168
"Standardized mean difference",5.33360581629018
"Standardized mean difference",5.53865494126265
"Standardized mean difference",6.48489202364441
"Standardized mean difference",5.67081874431801
"Standardized mean difference",5.01326834453992
"Standardized mean difference",5.86862137049502
"Standardized mean difference",5.61957022486041
"Standardized mean difference",5.93851048515924
"Standardized mean difference",6.02677612265581
"Standardized mean difference",5.56044115123227
"Standardized mean difference",6.0952898104374
"Standardized mean difference",5.56294501973146
"Standardized mean difference",5.66271974809423
"Standardized mean difference",6.28832352150205
"Standardized mean difference",5.50664499433357
"Standardized mean difference",5.75762704804778
"Standardized mean difference",5.89539577436143
"Standardized mean difference",6.19991971067523
"Standardized mean difference",5.48973588473906
"Standardized mean difference",5.9072174209944
"Standardized mean difference",6.3423241228074
"Standardized mean difference",5.97073182203048
"Standardized mean difference",5.78337585467227
"Standardized mean difference",6.09245782472393
"Standardized mean difference",6.06993749919172
"Standardized mean difference",5.90639965048038
