"dataset","specificity","sensitivity","AUC"
"GSE26440",0.9375,0.489795918367347,0.888552295918367
"GSE26440",0.9375,0.479591836734694,0.888552295918367
"GSE26440",0.9375,0.469387755102041,0.888552295918367
"GSE26440",0.9375,0.459183673469388,0.888552295918367
"GSE26440",0.9375,0.438775510204082,0.888552295918367
"GSE26440",0.9375,0.428571428571429,0.888552295918367
"GSE26440",0.9375,0.418367346938776,0.888552295918367
"GSE26440",0.96875,0.418367346938776,0.888552295918367
"GSE26440",0.96875,0.408163265306122,0.888552295918367
"GSE26440",0.96875,0.397959183673469,0.888552295918367
"GSE26440",0.96875,0.387755102040816,0.888552295918367
"GSE26440",0.96875,0.377551020408163,0.888552295918367
"GSE26440",0.96875,0.36734693877551,0.888552295918367
"GSE26440",0.96875,0.357142857142857,0.888552295918367
"GSE26440",0.96875,0.346938775510204,0.888552295918367
"GSE26440",0.96875,0.336734693877551,0.888552295918367
"GSE26440",0.96875,0.326530612244898,0.888552295918367
"GSE26440",0.96875,0.316326530612245,0.888552295918367
"GSE26440",0.96875,0.306122448979592,0.888552295918367
"GSE26440",0.96875,0.285714285714286,0.888552295918367
"GSE26440",0.96875,0.275510204081633,0.888552295918367
"GSE26440",0.96875,0.26530612244898,0.888552295918367
"GSE26440",0.96875,0.255102040816327,0.888552295918367
"GSE26440",0.96875,0.244897959183673,0.888552295918367
"GSE26440",0.96875,0.23469387755102,0.888552295918367
"GSE26440",0.96875,0.224489795918367,0.888552295918367
"GSE26440",0.96875,0.214285714285714,0.888552295918367
"GSE26440",0.96875,0.204081632653061,0.888552295918367
"GSE26440",0.96875,0.193877551020408,0.888552295918367
"GSE26440",0.96875,0.183673469387755,0.888552295918367
"GSE26440",0.96875,0.173469387755102,0.888552295918367
"GSE26440",0.96875,0.163265306122449,0.888552295918367
"GSE26440",0.96875,0.153061224489796,0.888552295918367
"GSE26440",0.96875,0.142857142857143,0.888552295918367
"GSE26440",0.96875,0.13265306122449,0.888552295918367
"GSE26440",0.96875,0.122448979591837,0.888552295918367
"GSE26440",0.96875,0.112244897959184,0.888552295918367
"GSE26440",0.96875,0.102040816326531,0.888552295918367
"GSE26440",0.96875,0.0918367346938776,0.888552295918367
"GSE26440",0.96875,0.0816326530612245,0.888552295918367
"GSE26440",0.96875,0.0714285714285714,0.888552295918367
