"algorithm","rank","regime"
"Ranger",16,"Repeated 1:1 downsampling"
"Ranger",55,"Repeated 1:1 downsampling"
"LASSO",5,"Repeated 1:1 downsampling"
"glmBoost",5,"Repeated 1:1 downsampling"
"Ranger",32,"Repeated 1:1 downsampling"
"LASSO",9,"Repeated 1:1 downsampling"
"glmBoost",12,"Repeated 1:1 downsampling"
"Ranger",7,"Repeated 1:1 downsampling"
"XGBoost",5,"Repeated 1:1 downsampling"
"LASSO",3,"Repeated 1:1 downsampling"
"glmBoost",3,"Repeated 1:1 downsampling"
"Ranger",6,"Repeated 1:1 downsampling"
"LASSO",6,"Repeated 1:1 downsampling"
"glmBoost",8,"Repeated 1:1 downsampling"
"Ranger",5,"Repeated 1:1 downsampling"
"LASSO",7,"Repeated 1:1 downsampling"
"glmBoost",8,"Repeated 1:1 downsampling"
"Ranger",1,"Repeated 1:1 downsampling"
"XGBoost",3,"Repeated 1:1 downsampling"
"LASSO",4,"Repeated 1:1 downsampling"
"glmBoost",5,"Repeated 1:1 downsampling"
"Ranger",49,"Repeated 1:1 downsampling"
"Ranger",48,"Repeated 1:1 downsampling"
"Ranger",9,"Repeated 1:1 downsampling"
"LASSO",8,"Repeated 1:1 downsampling"
"glmBoost",9,"Repeated 1:1 downsampling"
"Ranger",9,"Repeated 1:1 downsampling"
"XGBoost",7,"Repeated 1:1 downsampling"
"LASSO",9,"Repeated 1:1 downsampling"
"glmBoost",7,"Repeated 1:1 downsampling"
"Ranger",11,"Repeated 1:1 downsampling"
"Ranger",16,"Repeated 1:1 downsampling"
"LASSO",2,"Repeated 1:1 downsampling"
"glmBoost",1,"Repeated 1:1 downsampling"
"Ranger",18,"Repeated 1:1 downsampling"
"LASSO",5,"Repeated 1:1 downsampling"
"glmBoost",5,"Repeated 1:1 downsampling"
"Ranger",3,"Repeated 1:1 downsampling"
"Ranger",13,"Repeated 1:1 downsampling"
"LASSO",3,"Repeated 1:1 downsampling"
"glmBoost",3,"Repeated 1:1 downsampling"
"Ranger",7,"Repeated 1:1 downsampling"
"XGBoost",4,"Repeated 1:1 downsampling"
"LASSO",9,"Repeated 1:1 downsampling"
"glmBoost",4,"Repeated 1:1 downsampling"
"Ranger",14,"Repeated 1:1 downsampling"
"XGBoost",4,"Repeated 1:1 downsampling"
"LASSO",7,"Repeated 1:1 downsampling"
"glmBoost",7,"Repeated 1:1 downsampling"
"Ranger",15,"Repeated 1:1 downsampling"
"XGBoost",4,"Repeated 1:1 downsampling"
"Ranger",16,"Repeated 1:1 downsampling"
