comparison_id,label,threshold,delta_net_benefit
GSE28750_Postoperative,Postoperative sterile inflammation,0.35,-0.09523809523809511
GSE28750_Postoperative,Postoperative sterile inflammation,0.36,-0.09523809523809522
GSE28750_Postoperative,Postoperative sterile inflammation,0.37,-0.09523809523809501
GSE28750_Postoperative,Postoperative sterile inflammation,0.38,-0.14285714285714318
GSE28750_Postoperative,Postoperative sterile inflammation,0.39,-0.0819672131147541
GSE28750_Postoperative,Postoperative sterile inflammation,0.4,-0.12698412698412706
GSE28750_Postoperative,Postoperative sterile inflammation,0.41,-0.0912025827280063
GSE28750_Postoperative,Postoperative sterile inflammation,0.42,-0.0870279146141215
GSE28750_Postoperative,Postoperative sterile inflammation,0.43,-0.08270676691729309
GSE28750_Postoperative,Postoperative sterile inflammation,0.44,-0.0782312925170067
GSE28750_Postoperative,Postoperative sterile inflammation,0.45,-0.0735930735930736
GSE28750_Postoperative,Postoperative sterile inflammation,0.46,-0.0282186948853615
GSE28750_Postoperative,Postoperative sterile inflammation,0.47,0.06289308176100629
GSE28750_Postoperative,Postoperative sterile inflammation,0.48,-0.0293040293040293
GSE28750_Postoperative,Postoperative sterile inflammation,0.49,0.007469654528478
GSE28750_Postoperative,Postoperative sterile inflammation,0.5,0.0
GSE28750_Postoperative,Postoperative sterile inflammation,0.51,-0.0077745383867833
GSE28750_Postoperative,Postoperative sterile inflammation,0.52,0.0396825396825397
GSE28750_Postoperative,Postoperative sterile inflammation,0.53,0.0354609929078014
GSE28750_Postoperative,Postoperative sterile inflammation,0.54,0.031055900621118
GSE28750_Postoperative,Postoperative sterile inflammation,0.55,-0.0211640211640212
GSE28750_Postoperative,Postoperative sterile inflammation,0.56,0.0346320346320346
GSE28750_Postoperative,Postoperative sterile inflammation,0.57,0.0321151716500554
GSE28750_Postoperative,Postoperative sterile inflammation,0.58,0.0294784580498866
GSE28750_Postoperative,Postoperative sterile inflammation,0.59,0.0267131242740999
GSE28750_Postoperative,Postoperative sterile inflammation,0.6,0.0238095238095238
GSE28750_Postoperative,Postoperative sterile inflammation,0.61,0.0207570207570207
GSE28750_Postoperative,Postoperative sterile inflammation,0.62,0.0175438596491228
GSE28750_Postoperative,Postoperative sterile inflammation,0.63,0.0141570141570141
GSE28750_Postoperative,Postoperative sterile inflammation,0.64,-0.037037037037037
GSE28750_Postoperative,Postoperative sterile inflammation,0.65,-0.0408163265306123
GSE28750_Postoperative,Postoperative sterile inflammation,0.66,-0.0448179271708684
GSE28750_Postoperative,Postoperative sterile inflammation,0.67,-0.0490620490620491
GSE28750_Postoperative,Postoperative sterile inflammation,0.68,0.0476190476190476
GSE28750_Postoperative,Postoperative sterile inflammation,0.69,0.0
GSE28750_Postoperative,Postoperative sterile inflammation,0.7,0.0
GSE28750_Postoperative,Postoperative sterile inflammation,0.71,0.0
GSE28750_Postoperative,Postoperative sterile inflammation,0.72,0.0
GSE28750_Postoperative,Postoperative sterile inflammation,0.73,0.0
GSE28750_Postoperative,Postoperative sterile inflammation,0.74,0.0
GSE28750_Postoperative,Postoperative sterile inflammation,0.75,0.0
GSE28750_Postoperative,Postoperative sterile inflammation,0.76,0.0
GSE28750_Postoperative,Postoperative sterile inflammation,0.77,0.0
GSE28750_Postoperative,Postoperative sterile inflammation,0.78,0.0
GSE28750_Postoperative,Postoperative sterile inflammation,0.79,0.0
GSE28750_Postoperative,Postoperative sterile inflammation,0.8,0.0
