"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Regulation"
"ACADS",2.64689293043267,0.180303527869993,0.0534308299662155,3.374522312006,0.000774863049437694,0.00127179552890201,"Not significant"
"ACADSB",2.20620982955486,-0.584239605160085,0.0512576845316118,-11.3980881208118,5.28651928277622e-28,4.48283064217471e-27,"Not significant"
"ACADVL",7.50903852101372,0.102207772741973,0.0666573207826335,1.53333154621182,0.12558753300162,0.150072427780768,"Not significant"
"ACAN",2.40105121622195,0.113256569001379,0.04511934273342,2.51015555945787,0.0122631368469189,0.0170699252534794,"Not significant"
"ACAP1",6.92025687615337,0.810812993842545,0.112696625764442,7.19465191031811,1.43620184488966e-12,4.91555181666527e-12,"Not significant"
"ACAP2",6.70347660313591,0.0911245279664747,0.100571955221057,0.906063005001574,0.365173995527366,0.403419499772361,"Not significant"
"ACAP3",3.10912555250748,-0.0166586161343951,0.0520032439337274,-0.320338018828686,0.748795332116473,0.774572556895838,"Not significant"
"ACAT1",4.50705457375561,0.0598490498199888,0.126178513002531,0.474320455962167,0.635400218364344,0.667945385630763,"Not significant"
"ACAT2",5.17219792217207,-0.130610643500185,0.0850511078388425,-1.53567245411629,0.125012200474405,0.149415397996895,"Not significant"
"ACBD3",3.800786651899,-0.168569716371119,0.0828958079764401,-2.03351315930268,0.0423286753731968,0.0545736882186724,"Not significant"
"ACBD5",4.63172221626683,-0.508016470829006,0.130729509374389,-3.88601221912434,0.000110297768096777,0.000199472151902181,"Not significant"
"ACBD6",4.80052504616584,-0.451032198374878,0.0544162048056335,-8.28856404054449,4.78782149215819e-16,2.04999927170631e-15,"Not significant"
"ACBD7",2.1408452674788,0.10912350993515,0.0440903276062355,2.47499884577218,0.0135288045301815,0.0187094713581777,"Not significant"
"ACCN4",3.151313202899,0.167794560871805,0.0502653169523416,3.33817771468341,0.000882078721989437,0.00143610454890167,"Not significant"
"ACCS",2.77023695446633,-0.406519762120989,0.0931977380980668,-4.36190588330836,1.45709551193895e-05,2.90600788026082e-05,"Not significant"
"ACD",3.66023544943017,-0.265937676650437,0.0426254454805767,-6.23894187268067,7.11791108517001e-10,2.03153434016336e-09,"Not significant"
"ACE",2.86280773425436,0.147755232344231,0.0532541417138407,2.77453034804671,0.00565636343327425,0.00825902355775491,"Not significant"
"ACER3",6.17848185973067,1.73817159417556,0.175127005533807,9.92520593198874,5.58883904824057e-22,3.3725996184866e-21,"Up"
"ACIN1",6.90381273651122,-0.347760817279825,0.0566136295058599,-6.14270486303709,1.27484603103815e-09,3.57328883944895e-09,"Not significant"
"ACLY",6.21181520357731,-0.821854169784522,0.0835582574670936,-9.8357025947816,1.23937078927988e-21,7.34286465094588e-21,"Not significant"
"ACMSD",2.4036183364389,0.155810257476941,0.0423616784938437,3.67809451883699,0.000250619513374157,0.000436276006718917,"Not significant"
"ACN9",5.19150407329925,1.37140401355633,0.145167806404548,9.44702580773693,3.69222282704728e-20,2.00134871924917e-19,"Up"
"ACO1",2.47024712184913,-0.538390542722995,0.0492781127848752,-10.9255511685959,5.27274140556013e-26,3.98653267946833e-25,"Not significant"
"ACO2",4.08679986437282,-0.119232328312716,0.0707940775833884,-1.68421331815888,0.0925285495319888,0.112881748070516,"Not significant"
"ACOT1 ",2.23257728373192,-0.474462730942042,0.0435363008323757,-10.8980947363633,6.85966395569242e-26,5.12028037558978e-25,"Not significant"
"ACOT13",4.10361999906858,0.620715936202828,0.0902435002469713,6.87823427176585,1.21817541310124e-11,3.91761736172706e-11,"Not significant"
"ACOT7",3.52814492716459,-0.0478807027748092,0.109237421803381,-0.438317766790495,0.661273709683131,0.692782639350672,"Not significant"
"ACOT8",5.36650416958354,0.299968400812406,0.0690106243374528,4.34669884082776,1.55927649082615e-05,3.10240427775749e-05,"Not significant"
"ACOT9",6.14796715890524,0.203112836127134,0.082752470037336,2.45446251979541,0.01432051388025,0.0197298497722373,"Not significant"
"ACOX1",6.92199838643392,0.54698079567457,0.109031387863896,5.01672781013636,6.47207318776701e-07,1.47102842683168e-06,"Not significant"
"ACOX2",2.41903701411596,0.35738988199881,0.0526745884281129,6.78486330247373,2.25343016653526e-11,7.10464033404e-11,"Not significant"
"ACOX3",2.76539304696384,-0.135393614762095,0.0545168504347253,-2.48351864941659,0.0132119066284947,0.0182992948563206,"Not significant"
"ACOXL",2.42623853156858,0.141229676109023,0.0471939283873008,2.99253910270004,0.00285130532163066,0.00434235829294213,"Not significant"
"ACP1",6.99513928564838,0.0952237057314536,0.151941194995804,0.626714208309889,0.531024521390313,0.568213693039908,"Not significant"
"ACP2",3.57126498116584,0.084182513258142,0.0503042217307976,1.67346815757619,0.0946241141678289,0.11529423933591,"Not significant"
"ACP5",4.54967253082294,-0.0772697903740616,0.139917727571478,-0.552251610394313,0.580929482348304,0.616044937439126,"Not significant"
"ACP6",3.27404608378429,0.581177136231962,0.113144656479586,5.13658491982624,3.51345569747162e-07,8.15653473032289e-07,"Not significant"
"ACPL2",4.86069709944389,0.463953331469177,0.186416626285247,2.48879802576866,0.0130189026726883,0.0180511737365397,"Not significant"
"ACPP",3.69402732515711,0.495345203558647,0.0967582822957565,5.11940881757851,3.83786574636437e-07,8.87624801295521e-07,"Not significant"
"ACPT",2.60993597055362,0.155899930268232,0.0450691576385022,3.45912678285889,0.000570446092491482,0.000952966180742363,"Not significant"
"ACRBP",7.63480494621072,0.231209047151197,0.158790418077112,1.45606422573254,0.145765297592221,0.172495559172295,"Not significant"
"ACSBG1",2.20067681252369,0.119392608230136,0.0490100598252801,2.43608370721784,0.0150633986195146,0.0207022362404235,"Not significant"
"ACSF3",4.45670579508978,-0.287825002754072,0.0624754595235407,-4.60700897519001,4.74824641622562e-06,9.96324077918496e-06,"Not significant"
"ACSL1",11.2495080261421,0.962824693998813,0.0754668395789846,12.7582485151125,4.42507240502798e-34,5.39619391410228e-33,"Not significant"
"ACSL3",6.57037598404489,0.91247712477575,0.120311640633486,7.58427962557249,9.24106857594392e-14,3.38636906321097e-13,"Not significant"
"ACSL4",7.18433639231047,1.31135369349994,0.156402278789309,8.38449224430085,2.27061523592065e-16,9.91406108411106e-16,"Up"
"ACSL5",4.63231403613591,-1.32169665411973,0.107662395234238,-12.2763073517374,7.12215928648664e-32,7.65730134663642e-31,"Down"
"ACSL6",4.17087717199252,0.461619044792676,0.198587586231194,2.32451108124786,0.0203463991281083,0.0274068334922186,"Not significant"
"ACSM3",2.64776177705486,-0.0240048323922322,0.0942958688947323,-0.25456928997632,0.799120887307634,0.820978143101443,"Not significant"
"ACSM5",2.70601256691147,0.209588137576506,0.0500897208905183,4.18425445082046,3.17620281535775e-05,6.0969567228792e-05,"Not significant"
"ACSS1",5.45084206215711,-1.36713230725883,0.0802912924504453,-17.0271553182757,9.48205772849525e-56,5.58393138292643e-54,"Down"
"ACSS2",4.94873828147382,0.505801987351318,0.0957758423907481,5.28110194309477,1.65420024798117e-07,3.94416535220576e-07,"Not significant"
"ACTA2",4.26942011215212,0.128658815286532,0.129244341829627,0.995469615653533,0.319807460086165,0.35635862173146,"Not significant"
"ACTB",11.2603007766459,0.022097788386592,0.0434470737331462,0.508613963792306,0.611162358452301,0.64477958936825,"Not significant"
"ACTG1",10.8787396397469,-0.1776632100641,0.046514790823924,-3.81949928005959,0.000144018765082533,0.00025759400305284,"Not significant"
"ACTL6A",4.7250584983192,-1.01381215182469,0.0875281939076703,-11.5826924624323,8.44277646498556e-29,7.50689661556644e-28,"Down"
"ACTL7B",2.51666269739027,0.129460020773939,0.0444487601471388,2.91256764745265,0.0036839639852883,0.00550706606640483,"Not significant"
"ACTL8",2.72405197112344,0.117176753012911,0.0642231285064857,1.82452577035511,0.0684435792011978,0.0853196792531472,"Not significant"
"ACTN1",9.81698643164589,0.222317108260729,0.0838509872830641,2.65133560694081,0.00817525517625671,0.0116623025454111,"Not significant"
"ACTN4",7.11728860614339,-0.529276181427948,0.0661915731605195,-7.99612633687393,4.46099063031203e-15,1.7965068452449e-14,"Not significant"
"ACTR10",6.99896662897007,0.330688229395933,0.0777738185812144,4.25192224618128,2.3683471817393e-05,4.62115561485229e-05,"Not significant"
"ACTR1A",6.02175110325187,0.664802526739858,0.0654355221860595,10.1596580042497,6.75557034958993e-23,4.29097717760674e-22,"Not significant"
"ACTR1B",4.82275469178304,-0.341512888831515,0.0503210225337855,-6.78668420543766,2.22670596124907e-11,7.02416343469121e-11,"Not significant"
"ACTR2",10.1353248927419,-0.0461580071203525,0.0642026725710958,-0.718942144803064,0.472385442814706,0.51083187269037,"Not significant"
"ACTR2 ",6.79185413814588,0.601213152693294,0.117379342211993,5.12196730160126,3.78777024307718e-07,8.76384589903682e-07,"Not significant"
"ACTR3",9.85342378000374,0.147418810139834,0.0626515459376801,2.35299557151348,0.018862853866001,0.0255341831956328,"Not significant"
"ACTR5",3.18749435276933,-0.858933468792544,0.0618664204085908,-13.883678142679,1.92100844498308e-39,3.3203979302001e-38,"Not significant"
"ACTR6",2.70939442504988,0.0590076993673558,0.0718140544817046,0.821673414671061,0.411506366262973,0.449854767372741,"Not significant"
"ACTR8",3.33511522847132,-0.23169971189073,0.0571048829516299,-4.05744132401057,5.44519540036704e-05,0.000102066930417309,"Not significant"
"ACVR1",4.01688624573317,-0.75467348566466,0.0995574141790914,-7.5802841193434,9.5105858145233e-14,3.48186676539827e-13,"Not significant"
"ACVR1B",7.18447385415461,1.02013214983428,0.100508159334431,10.149744623617,7.3974413679579e-23,4.69105061640144e-22,"Up"
"ACVR1C",2.5508094667182,-0.409845020888283,0.0558901526959797,-7.33304528827606,5.49487109907198e-13,1.92394366328128e-12,"Not significant"
"ACVR2A",2.61064551088404,-0.578421555610965,0.0594224466084001,-9.73405823262076,3.04001306906226e-21,1.75410699932746e-20,"Not significant"
"ACVRL1",2.68410553792519,0.108669624033775,0.0455327594718048,2.38662504303229,0.0172341310418306,0.023500905478149,"Not significant"
"ACY3",2.66311887466708,0.161834977470304,0.0438019441504518,3.69469850275207,0.000235053709008497,0.00041039845290086,"Not significant"
"ACYP1",2.60949842711097,-0.883598984034961,0.0640217823875439,-13.801536775191,4.83465216232285e-39,8.10430505758031e-38,"Not significant"
"ADA",4.8042574183192,-1.7933285659141,0.138295392492481,-12.9673775358178,4.69622065622925e-35,5.97557110427259e-34,"Down"
"ADAD2",2.48178625063092,0.0911822139971186,0.0459585095885598,1.98401155332104,0.0475941845631756,0.0609836266013399,"Not significant"
"ADAM10",4.48950146048005,0.392972154449128,0.115186573597276,3.41161423746372,0.000678046708343726,0.0011213702194581,"Not significant"
"ADAM11",2.6603610739813,0.211263255150941,0.0505213488413222,4.18166299982365,3.21184531650834e-05,6.16032983046828e-05,"Not significant"
"ADAM12",2.47425201044763,0.0558443868652874,0.0421450294525512,1.32505274265283,0.185530068738488,0.216190402261742,"Not significant"
