"lambda","ll","cvm","cvsd","cvup","cvlo","nzero"
0.0119220922515355,-4.42936210828987,0.051585729085048,0.00955602268957497,0.0611417517746229,0.042029706395473,6
0.0108629664345722,-4.52239584942095,0.0499011369857999,0.00955792922237923,0.0594590662081791,0.0403432077634207,6
0.00989793043611486,-4.61542959055202,0.048414250793092,0.00956758148332175,0.0579818322764138,0.0388466693097703,6
0.0090186255760098,-4.70846333168309,0.0471200190513449,0.00958956373197771,0.0567095827833226,0.0375304553193671,6
0.00821743573621073,-4.80149707281416,0.0459870321569699,0.00961832855994521,0.0556053607169151,0.0363687035970247,6
0.00748742139360768,-4.89453081394524,0.0450615650411704,0.00966384516803788,0.0547254102092082,0.0353977198731325,6
0.00682225951319765,-4.98756455507631,0.0444873421656241,0.00976013205479014,0.0542474742204143,0.034727210110834,6
0.00621618878098029,-5.08059829620738,0.0442741929363869,0.00996710674837193,0.0542412996847589,0.034307086188015,7
0.00566395970221219,-5.17363203733845,0.0440999582857853,0.0102956655959115,0.0543956238816968,0.0338042926898738,7
0.00516078913279472,-5.26666577846953,0.0439706539874219,0.0106725992384263,0.0546432532258482,0.0332980547489955,7
0.0047023188499681,-5.3596995196006,0.0438476979478752,0.0110848393208763,0.0549325372687515,0.0327628586269989,7
0.00428457780347076,-5.45273326073167,0.0438782163537782,0.0115085003612151,0.0553867167149933,0.0323697159925631,8
0.00390394772020166,-5.54576700186274,0.0440420442417973,0.0119895061952017,0.0560315504369991,0.0320525380465956,9
0.00355713176446973,-5.63880074299382,0.0442080452363558,0.0125518800008102,0.056759925237166,0.0316561652355456,11
0.00324112598238019,-5.73183448412489,0.0444161507483996,0.0131395128718682,0.0575556636202678,0.0312766378765315,11
0.00295319328302306,-5.82486822525596,0.0444094467037164,0.0136019148681333,0.0580113615718497,0.0308075318355831,11
0.00269083973110104,-5.91790196638703,0.0443786983488917,0.0139790393543796,0.0583577377032713,0.0303996589945121,10
0.00245179294565508,-6.01093570751811,0.0442340043968169,0.0142693927986264,0.0585033971954433,0.0299646115981905,12
0.0022339824177876,-6.10396944864918,0.0441437783116192,0.0145114493786001,0.0586552276902193,0.0296323289330191,13
0.00203552157690489,-6.19700318978025,0.0443061253305778,0.014856331710727,0.0591624570413048,0.0294497936198508,13
0.00185469145014521,-6.29003693091132,0.0445583868726287,0.0151984065830071,0.0597567934556359,0.0293599802896216,13
0.00168992577345814,-6.3830706720424,0.0448003460627418,0.0155168727229289,0.0603172187856708,0.0292834733398129,14
0.00153979742537472,-6.47610441317347,0.0450130045190587,0.0157985973060221,0.0608116018250808,0.0292144072130366,14
0.00140300606596397,-6.56913815430454,0.0452706048397804,0.0160811207151469,0.0613517255549273,0.0291894841246335,14
0.00127836687391048,-6.66217189543561,0.045611174044514,0.0164082716101828,0.0620194456546967,0.0292029024343312,14
0.00116480028415901,-6.75520563656669,0.0461553286096589,0.0168766654544716,0.0630319940641305,0.0292786631551872,16
0.00106132263723843,-6.84823937769776,0.0468151832916537,0.0174548941589954,0.0642700774506491,0.0293602891326583,15
0.000967037659273928,-6.94127311882883,0.0474904559728188,0.0180722271934086,0.0655626831662274,0.0294182287794102,15
0.000881128698891504,-7.0343068599599,0.0481455429237512,0.018721240465466,0.0668667833892172,0.0294243024582851,15
0.000802851653774438,-7.12734060109098,0.0487451094585686,0.0194005559836876,0.0681456654422562,0.0293445534748811,16
0.000731528525604995,-7.22037434222205,0.0491017706582402,0.0199471716014734,0.0690489422597136,0.0291545990567668,16
