"Gene","Step","Coefficient","StepIndex","Lambda","LogLambda"
"ST6GALNAC3","s83",0,83,7.84394059971776e-05,-9.45318412936779
"ST6GALNAC3","s84",0,84,7.14710653564502e-05,-9.54621787049886
"ST6GALNAC3","s85",0,85,6.51217728926934e-05,-9.63925161162994
"ST6GALNAC3","s86",0,86,5.93365340720335e-05,-9.73228535276101
"ST6GALNAC3","s87",0,87,5.40652399234147e-05,-9.82531909389208
"STK16","s0",0,0,0.177039286132001,-1.73138361548877
"STK16","s1",0,1,0.161311603892753,-1.82441735661984
"STK16","s2",0,2,0.146981125596331,-1.91745109775091
"STK16","s3",0,3,0.133923727495309,-2.01048483888199
"STK16","s4",0,4,0.122026312653886,-2.10351858001306
"STK16","s5",0,5,0.111185831356325,-2.19655232114413
"STK16","s6",0,6,0.101308388539621,-2.2895860622752
"STK16","s7",0,7,0.09230843051938,-2.38261980340628
"STK16","s8",0,8,0.0841080039647334,-2.47565354453735
"STK16","s9",0,9,0.076636080703879,-2.56868728566842
"STK16","s10",0,10,0.0698279425120354,-2.66172102679949
"STK16","s11",0,11,0.0636246205531402,-2.75475476793057
"STK16","s12",0,12,0.0579723846200014,-2.84778850906164
"STK16","s13",0,13,0.0528222777489477,-2.94082225019271
"STK16","s14",0,14,0.048129692178029,-3.03385599132378
"STK16","s15",0,15,0.043853982975923,-3.12688973245486
"STK16","s16",0,16,0.0399581159949838,-3.21992347358593
"STK16","s17",0,17,0.0364083470991718,-3.312957214717
"STK16","s18",0,18,0.0331739298884908,-3.40599095584808
"STK16","s19",0,19,0.0302268493883793,-3.49902469697915
"STK16","s20",0,20,0.0275415793974034,-3.59205843811022
"STK16","s21",0,21,0.0250948613915117,-3.68509217924129
"STK16","s22",0,22,0.022865503069826,-3.77812592037237
"STK16","s23",0,23,0.0208341947970698,-3.87115966150344
"STK16","s24",0,24,0.0189833423527451,-3.96419340263451
"STK16","s25",0,25,0.0172969145384111,-4.05722714376558
"STK16","s26",0,26,0.0157603043231128,-4.15026088489666
"STK16","s27",0,27,0.0143602023242663,-4.24329462602773
"STK16","s28",0,28,0.0130844815281545,-4.3363283671588
"STK16","s29",0,29,0.0119220922515355,-4.42936210828987
"STK16","s30",0,30,0.0108629664345722,-4.52239584942095
"STK16","s31",0,31,0.00989793043611486,-4.61542959055202
"STK16","s32",0,32,0.0090186255760098,-4.70846333168309
"STK16","s33",0,33,0.00821743573621073,-4.80149707281416
"STK16","s34",0,34,0.00748742139360768,-4.89453081394524
"STK16","s35",0,35,0.00682225951319765,-4.98756455507631
"STK16","s36",0,36,0.00621618878098029,-5.08059829620738
"STK16","s37",0,37,0.00566395970221219,-5.17363203733845
"STK16","s38",0,38,0.00516078913279472,-5.26666577846953
"STK16","s39",0,39,0.0047023188499681,-5.3596995196006
"STK16","s40",0,40,0.00428457780347076,-5.45273326073167
"STK16","s41",0,41,0.00390394772020166,-5.54576700186274
"STK16","s42",0,42,0.00355713176446973,-5.63880074299382
"STK16","s43",0,43,0.00324112598238019,-5.73183448412489
"STK16","s44",0,44,0.00295319328302306,-5.82486822525596
"STK16","s45",0,45,0.00269083973110104,-5.91790196638703
"STK16","s46",0,46,0.00245179294565508,-6.01093570751811
"STK16","s47",0,47,0.0022339824177876,-6.10396944864918
"STK16","s48",0,48,0.00203552157690489,-6.19700318978025
"STK16","s49",0,49,0.00185469145014521,-6.29003693091132
"STK16","s50",0,50,0.00168992577345814,-6.3830706720424
