"Sample","C5orf32","GADD45A","MAFG","S100A8","MYL6","NSUN7"
"GSM1602851",-0.146372071169863,-1.90627039666647,-0.58248302612316,0.112971129091143,0.530069238641112,-1.7078353106436
"GSM1602852",0.110323267389056,0.787056229616584,0.798251040281316,0.321140524118688,-0.236325031880138,-1.73142429479646
"GSM1602853",-0.84794749167031,0.534544138625592,-0.0217969657192032,0.0864274057683202,-1.04294336213634,1.34967734224534
"GSM1602854",0.832149826096995,1.07954055840593,1.91407180059019,0.276666032135847,-0.752873027289757,-1.27229429342798
"GSM1602855",0.839169770787168,1.21441193464124,1.81194491457403,0.819891560365038,0.586782941508291,1.86647333329639
"GSM1602856",-0.449871078353194,-0.375904591026259,0.259761145237194,-1.79000688853926,-1.26325423139553,-1.00483743679992
"GSM1602857",-0.399153004582822,-0.773206465295274,-0.687184300445763,-2.24464509614436,-1.12054115406358,0.849502759762901
"GSM1602858",0.872354841523843,0.885264930158346,1.09833435057212,0.780887093291647,0.851451312686612,1.29055996376931
"GSM1602859",0.681884687574974,1.41385387325398,0.976494621548425,-0.174230892203597,-0.13661604640474,0.673789736726486
"GSM1602860",0.579850599035268,-0.176227471722169,0.286295058373974,0.282571019215178,-0.126368231912646,0.636974401631954
"GSM1602861",1.21147540959135,1.37132991263729,0.564238694885016,0.822193341369491,0.927719344605491,0.23973293076503
"GSM1602862",-3.68919580007583,-2.22438560356131,-2.77546919961596,-4.97559657896862,-4.17717424795191,-1.77180628194451
"GSM1602863",0.583974389011351,1.12985140360438,-0.206539845088502,0.53069335369967,-0.154985690276942,0.813823308555969
"GSM1602864",-4.14068407938042,-1.91042909639742,-2.28851683994703,-4.61531720444918,-2.82843259300688,-1.6118595654631
"GSM1602865",0.610904284966069,0.574466149658696,1.69287169613069,0.673498261855223,0.854272454633911,0.29391856368177
"GSM1602866",-0.130286466538352,-0.0978671887278911,0.0778835016212337,0.700041642837902,0.479473598442691,-0.566716474926006
"GSM1602867",-0.206229859458432,0.372941417779793,-1.33358351508608,-0.384872781853304,-0.636396074051456,1.66816741986568
"GSM1602868",0.708711176279186,1.05542373199023,0.727896965706986,0.785870101310665,0.281822477007988,0.615453813130805
"GSM1602869",0.759968861551264,1.24884038329194,0.824443812954691,0.547468248906501,0.328898663760579,0.984900794454439
"GSM1602870",-3.16747966930784,-2.77579828418497,-2.43258816075352,-4.20940837740074,-2.67638024618714,-1.74037974767394
"GSM1602871",-2.56879862408037,-2.74828228200125,-2.78986927610463,-1.94460307527791,-1.51693100578278,-1.99260954812891
