"Sample","C5orf32","GADD45A","MAFG","S100A8","MYL6","NSUN7"
"147",-0.451274633407593,-0.376759350299835,-0.236699059605598,-0.253045678138733,-0.178513050079346,-0.194558337330818
"148",2.61243081092834,0.48521563410759,2.05252504348755,0.457892298698425,0.427118629217148,0.207649618387222
"149",-0.451274633407593,-0.376759350299835,-0.236699059605598,-0.253045678138733,-0.178513050079346,-0.194558337330818
"150",-0.451274633407593,-0.376759350299835,-0.236699059605598,-0.253045678138733,0.427118629217148,-0.194558337330818
"151",-0.451274633407593,-0.376759350299835,-0.236699059605598,-0.253045678138733,-0.178513050079346,-0.194558337330818
"152",-0.451274633407593,-0.376759350299835,-0.236699059605598,-0.253045678138733,-0.178513050079346,-0.194558337330818
"153",-0.451274633407593,-0.376759350299835,-0.236699059605598,-0.253045678138733,-0.178513050079346,-0.194558337330818
"154",2.61243081092834,0.48521563410759,0.393408894538879,0.966815590858459,0.427118629217148,0.207649618387222
"155",-0.451274633407593,-0.376759350299835,-0.236699059605598,-0.253045678138733,-0.178513050079346,-0.194558337330818
"156",2.61243081092834,0.48521563410759,2.05252504348755,0.966815590858459,0.427118629217148,0.207649618387222
"157",2.61243081092834,0.48521563410759,1.10304343700409,0.966815590858459,0.427118629217148,0.207649618387222
"158",-0.451274633407593,-0.376759350299835,-0.236699059605598,-0.253045678138733,-0.178513050079346,-0.194558337330818
"159",-0.451274633407593,-0.376759350299835,-0.236699059605598,-0.253045678138733,-0.178513050079346,-0.194558337330818
"160",2.61243081092834,0.48521563410759,2.05252504348755,0.966815590858459,0.427118629217148,-0.194558337330818
"161",2.61243081092834,0.48521563410759,2.05252504348755,0.966815590858459,0.427118629217148,-0.194558337330818
"162",2.61243081092834,0.48521563410759,2.05252504348755,0.966815590858459,0.427118629217148,0.207649618387222
"163",2.61243081092834,0.48521563410759,2.05252504348755,0.966815590858459,0.427118629217148,0.207649618387222
"164",1.78916430473328,0.48521563410759,2.05252504348755,0.966815590858459,0.427118629217148,0.207649618387222
"165",-0.451274633407593,-0.376759350299835,-0.236699059605598,-0.253045678138733,0.427118629217148,-0.194558337330818
"166",2.61243081092834,0.48521563410759,-0.236699059605598,0.966815590858459,0.427118629217148,0.207649618387222
"167",-0.451274633407593,-0.376759350299835,0.393408894538879,0.966815590858459,0.427118629217148,-0.194558337330818
"168",-0.451274633407593,-0.376759350299835,-0.236699059605598,-0.253045678138733,-0.178513050079346,-0.194558337330818
"169",2.61243081092834,0.48521563410759,2.05252504348755,0.966815590858459,0.427118629217148,0.207649618387222
"170",-0.451274633407593,-0.376759350299835,-0.236699059605598,-0.253045678138733,0.427118629217148,-0.194558337330818
"171",-0.451274633407593,-0.376759350299835,-0.236699059605598,-0.253045678138733,-0.178513050079346,-0.194558337330818
"172",-0.451274633407593,-0.376759350299835,-0.236699059605598,-0.253045678138733,-0.178513050079346,-0.194558337330818
"173",-0.451274633407593,-0.376759350299835,-0.236699059605598,-0.253045678138733,-0.178513050079346,0.207649618387222
"174",-0.451274633407593,-0.376759350299835,-0.236699059605598,-0.253045678138733,-0.178513050079346,-0.194558337330818
"175",-0.451274633407593,-0.376759350299835,-0.236699059605598,-0.253045678138733,-0.178513050079346,-0.194558337330818
"176",-0.451274633407593,-0.376759350299835,-0.236699059605598,-0.253045678138733,-0.178513050079346,-0.194558337330818
