"Sample","ME","Group"
"GSM1691948",-0.0173064255338549,"Disease"
"GSM1691949",0.0571129663876988,"Disease"
"GSM1691950",-0.0374671248478262,"Disease"
"GSM1691951",-0.024476147547108,"Disease"
"GSM1691952",-0.0110161129438375,"Disease"
"GSM1691953",0.0370132822548539,"Disease"
"GSM1691954",0.0102160712411494,"Disease"
"GSM1691955",-0.0242728758898729,"Disease"
"GSM1691957",-0.0339749929450986,"Disease"
"GSM1691958",-0.00451791333675979,"Disease"
"GSM1691959",0.041739253041004,"Disease"
"GSM1691960",-0.01397174608021,"Disease"
"GSM1691961",-0.00651227097358708,"Disease"
"GSM1691962",-0.0101947061696408,"Disease"
"GSM1691963",0.0154345072427709,"Disease"
"GSM1691964",-0.00541881066844004,"Disease"
"GSM1691965",0.0158307090291371,"Disease"
"GSM1691966",-0.0399579505767843,"Disease"
"GSM1691967",-0.0219854061639821,"Disease"
"GSM1691968",0.0307352280193558,"Disease"
"GSM1691969",-0.0107812233024669,"Disease"
"GSM1691970",-0.0108762767104292,"Disease"
"GSM1691971",-0.0471920696912494,"Disease"
"GSM1691972",-0.0295768058172406,"Disease"
"GSM1691973",-0.00614815462637053,"Disease"
"GSM1691974",-0.0225084938951379,"Disease"
"GSM1691975",-0.0274703627659479,"Disease"
"GSM1691976",-0.0447049325244873,"Disease"
"GSM1691977",-0.0144350755638524,"Disease"
"GSM1691978",-0.0534598028984929,"Disease"
"GSM1691979",-0.00264619431831962,"Disease"
"GSM1691980",-0.0098091183293488,"Disease"
"GSM1691981",-0.00702394574552062,"Disease"
"GSM1691982",-0.0479736299225581,"Disease"
"GSM1691983",0.0856332522097806,"Disease"
"GSM1691985",0.0605605144004144,"Disease"
"GSM1691986",0.0509753938483726,"Disease"
"GSM1691987",0.0684046334493753,"Disease"
"GSM1691988",-0.0648409862622308,"Disease"
"GSM1691989",-0.00505668661293436,"Disease"
"GSM1691990",0.0140389972384875,"Disease"
"GSM1691991",0.00247546520945047,"Disease"
"GSM1691992",0.0847845992542679,"Disease"
"GSM1691993",-0.0398993452835068,"Disease"
"GSM1691994",0.0442687960980042,"Disease"
"GSM1691995",-0.0112650569419178,"Disease"
"GSM1691996",-0.0106615913868319,"Disease"
"GSM1691997",0.0200001095975828,"Disease"
"GSM1691998",-0.0347340231398201,"Disease"
"GSM1691999",-0.0162419957981663,"Disease"
"GSM1692000",-0.033116354189698,"Disease"
"GSM1692001",0.051469707348945,"Disease"
"GSM1692002",0.0281357371692995,"Disease"
"GSM1692003",0.0315140776026111,"Disease"
"GSM1692004",0.0102148502153443,"Disease"
"GSM1692005",-0.0348048287609281,"Disease"
"GSM1692006",0.0392017236538323,"Disease"
"GSM1692007",0.0296163990582993,"Disease"
"GSM1692008",-0.0142290542238562,"Disease"
"GSM1692009",0.0465416491073934,"Disease"
"GSM1692010",-0.0276683990278583,"Disease"
"GSM1692011",0.00118184720263916,"Disease"
"GSM1692012",0.0242198324998174,"Disease"
"GSM1692015",-0.0130604790228941,"Disease"
"GSM1692016",0.0175886899684392,"Disease"
"GSM1692017",0.0720863241561197,"Disease"
"GSM1692018",-0.00458372130085429,"Disease"
"GSM1692019",-0.0142807319637363,"Disease"
"GSM1692020",-0.0200523621823279,"Disease"
"GSM1692021",-0.0519888525155792,"Disease"
"GSM1692022",0.0282573170146613,"Disease"
"GSM1692023",0.018169526446934,"Disease"
"GSM1692024",0.0208076788589287,"Disease"
"GSM1692025",-0.00226836704391797,"Disease"
"GSM1692026",0.0108663463352089,"Disease"
"GSM1692027",-0.0310827390683819,"Disease"
"GSM1692028",-0.031750435774597,"Disease"
"GSM1692029",0.00015454605928069,"Disease"
"GSM1692030",-0.018166486261546,"Disease"
"GSM1692032",-0.0231860342262097,"Disease"
"GSM1692033",-0.00159426050988947,"Disease"
"GSM1692034",0.0170525506614314,"Disease"
"GSM1692035",-0.0111562450168665,"Disease"
"GSM1692036",-0.013390220185392,"Disease"
"GSM1692037",-0.0168300726714077,"Disease"
"GSM1692038",0.0044553210404844,"Disease"
"GSM1692039",-0.0280840072656492,"Disease"
"GSM1692040",0.00177182929238632,"Disease"
"GSM1692041",-0.0162032943135558,"Disease"
"GSM1692042",-0.0283296638435113,"Disease"
"GSM1692043",0.0379676133345425,"Disease"
"GSM1692044",-0.0229682141579312,"Disease"
"GSM1692045",0.0601068198890002,"Disease"
"GSM1692046",0.0117481258935015,"Disease"
"GSM1692047",0.0645840888252716,"Disease"
"GSM1692048",-0.0123620908418125,"Disease"
"GSM1692049",-0.0400513796156097,"Disease"
"GSM1692050",0.0825230692302037,"Disease"
"GSM1692051",-0.0222814039549013,"Disease"
"GSM1692052",0.0351302040900656,"Disease"
"GSM1692053",-0.0471700056594399,"Disease"
"GSM1692054",0.00274534081428356,"Disease"
"GSM1692055",0.00492402916711093,"Disease"
"GSM1692056",-0.00995666097290022,"Disease"
"GSM1692057",0.0023363573687687,"Disease"
"GSM1692058",0.00712369054178084,"Disease"
"GSM1692059",0.0554356930628978,"Disease"
"GSM1692060",0.0585722945044279,"Disease"
"GSM1692061",0.0195212691992797,"Disease"
"GSM1692062",-0.0377723804723776,"Disease"
"GSM1692063",-0.0203693949682483,"Disease"
"GSM1692064",-0.029455467710529,"Disease"
"GSM1692065",-0.00455870829219666,"Disease"
"GSM1692066",-0.0364646905373565,"Disease"
"GSM1692067",-0.00451063670622517,"Disease"
"GSM1692068",0.00427538561664001,"Disease"
"GSM1692069",-0.00378001016196575,"Disease"
"GSM1692070",0.0293811920117236,"Disease"
"GSM1692071",0.0562000955239215,"Disease"
"GSM1692072",-0.026650620556702,"Disease"
"GSM1692073",0.0251813994330632,"Disease"
"GSM1692074",0.0271299224093897,"Disease"
"GSM1692075",-0.017134959999606,"Disease"
"GSM1692077",-0.0168251109024202,"Disease"
"GSM1692078",-0.0320947599275775,"Disease"
"GSM1692079",0.0377647857146829,"Disease"
"GSM1692080",-0.00726277697265662,"Disease"
"GSM1692081",-0.0494696242884792,"Disease"
"GSM1692082",0.00173020347566623,"Disease"
"GSM1692083",-0.0411943305009136,"Disease"
"GSM1692084",0.055856793120198,"Disease"
"GSM1692085",-0.016233258295197,"Disease"
"GSM1692086",0.0871040657887646,"Disease"
"GSM1692087",-0.00754701990402127,"Disease"
"GSM1692088",-0.0441889794784122,"Disease"
"GSM1692089",-0.040206766232525,"Disease"
"GSM1692090",0.0388738129980638,"Disease"
"GSM1692091",-0.0278494434697887,"Disease"
"GSM1692092",-0.0321548723425604,"Disease"
"GSM1692093",0.00234383673389454,"Disease"
"GSM1692094",-0.0396565253443471,"Disease"
"GSM1692095",-0.00797093290665575,"Disease"
"GSM1692096",-0.00641623351195006,"Disease"
