"gene","HC1","HC2","NSES","P50","S2","S3"
"MUL1",5.45376148785481,4.69623031625439,4.22742789384803,4.22742789384803,4.22742789384803,4.22742789384803
"CDA",5.9692199427275,6.7147912772439,9.06149634431147,7.88595625494302,4.22742789384803,7.73445762293791
"DDOST",5.45376148785481,5.95153722397477,5.68264611380475,6.03134333562224,4.9770888836488,5.9517357601784
"HP1BP3",6.97025208565506,6.25305255567801,6.27551219359965,7.31064077225432,6.36722099727102,4.22742789384803
"EIF4G3",4.64419098111034,4.69623031625439,6.27551219359965,6.03134333562224,6.57463603714936,4.22742789384803
"ECE1",5.64677549933564,5.04948116299568,6.6944853045484,5.09970920054362,7.31410544215665,5.3331782699928
"ALPL",4.22742789384803,5.33302586221419,9.02581529348732,7.56885973252092,6.12489709155534,6.98456621692932
"USP48",5.23087700832804,5.04948116299568,5.48660048793175,6.03134333562224,4.9770888836488,5.3331782699928
"LINC01635",4.64419098111034,4.22742789384803,4.22742789384803,4.22742789384803,4.22742789384803,5.3331782699928
"CDC42",9.41735052717486,9.47003711584067,9.99043034551834,9.55065729270654,8.976592695169,9.59632802880329
"ZBTB40",4.96715343895881,4.69623031625439,4.22742789384803,4.22742789384803,4.22742789384803,4.22742789384803
"C1QA",4.22742789384803,4.22742789384803,4.6586722164309,4.22742789384803,4.22742789384803,6.38328187344124
"KDM1A",4.22742789384803,4.69623031625439,4.22742789384803,6.03134333562224,4.9770888836488,5.9517357601784
"LUZP1",6.23259847825732,5.04948116299568,6.78264155239198,5.63945629658092,4.22742789384803,4.22742789384803
"HNRNPR",7.04069054479577,6.25305255567801,6.14854751394828,6.33920071562365,7.06185174393157,7.73445762293791
"TCEA3",4.64419098111034,4.22742789384803,4.6586722164309,4.22742789384803,4.22742789384803,4.22742789384803
"E2F2",4.22742789384803,4.22742789384803,4.6586722164309,5.09970920054362,4.22742789384803,5.3331782699928
"ID3",4.96715343895881,5.33302586221419,4.99023772891781,4.22742789384803,5.467922580958,4.22742789384803
"RPL11",12.8745456056328,13.0258735003953,11.965666103846,10.9505763007788,12.5427193183111,11.4636719421673
"ELOA",4.64419098111034,4.69623031625439,4.22742789384803,5.63945629658092,4.22742789384803,4.22742789384803
"PITHD1",6.73560474279721,6.38306105974853,5.85521045547623,5.63945629658092,6.12489709155534,6.38328187344124
"LYPLA2",5.64677549933564,5.04948116299568,5.68264611380475,4.22742789384803,4.22742789384803,5.3331782699928
"HMGCL",4.22742789384803,4.69623031625439,4.6586722164309,4.22742789384803,4.9770888836488,5.3331782699928
"PNRC2",6.89619719930481,7.46730304627358,6.944273314467,6.59277782143442,6.12489709155534,6.71502521591347
"SRSF10",8.07514051895216,7.40744261377575,7.70036866463604,7.56885973252092,7.71555277211658,6.98456621692932
"NIPAL3",4.96715343895881,4.69623031625439,4.6586722164309,4.22742789384803,4.22742789384803,4.22742789384803
"RCAN3",7.69312450922769,6.7147912772439,6.27551219359965,5.63945629658092,5.467922580958,5.9517357601784
"AL445686.2",4.64419098111034,4.22742789384803,4.6586722164309,4.22742789384803,4.22742789384803,4.22742789384803
"SRRM1",8.6490331609299,7.68462349192357,7.87094589419049,8.06424920834032,8.22659350590177,8.32583985913359
"CLIC4",5.45376148785481,5.56989199982261,4.99023772891781,4.22742789384803,5.83348774422402,4.22742789384803
"RUNX3",6.97025208565506,6.7147912772439,7.08960731982806,6.33920071562365,7.06185174393157,6.38328187344124
"SYF2",8.0411817652863,8.11715121834037,8.37497972696166,7.4455196820593,7.19348487074112,7.40769590977013
"RSRP1",7.17202051973996,5.77329786295453,6.27551219359965,6.99590584220857,7.80060400232291,6.38328187344124
"TMEM50A",7.45597367522672,7.21133958278887,7.28337270995717,6.80837686950916,6.75594514893013,7.21158830531232
"MACO1",5.23087700832804,5.04948116299568,5.68264611380475,4.22742789384803,5.83348774422402,5.3331782699928
"LDLRAP1",4.96715343895881,4.69623031625439,4.6586722164309,4.22742789384803,4.22742789384803,4.22742789384803
"AL606491.1",4.64419098111034,4.22742789384803,4.99023772891781,4.22742789384803,4.22742789384803,4.22742789384803
"SELENON",5.23087700832804,5.04948116299568,5.25966149830981,4.22742789384803,4.22742789384803,4.22742789384803
"STMN1",4.22742789384803,6.61246178641685,4.6586722164309,5.09970920054362,4.22742789384803,4.22742789384803
"ZNF593",5.81698738387323,5.95153722397477,5.25966149830981,5.09970920054362,4.22742789384803,4.22742789384803
"CEP85",4.22742789384803,4.69623031625439,4.6586722164309,4.22742789384803,4.22742789384803,4.22742789384803
"SH3BGRL3",11.1046238663937,11.5933215401089,12.0700788072972,10.6902703980571,9.24286718438537,11.3726687789359
"UBXN11",5.64677549933564,6.11015747676198,5.25966149830981,5.09970920054362,4.22742789384803,4.22742789384803
"CD52",8.57975464901918,9.51327604943329,7.34257993058757,6.59277782143442,7.71555277211658,9.51355345908188
"DHDDS",4.96715343895881,5.04948116299568,4.6586722164309,5.09970920054362,4.22742789384803,4.22742789384803
"HMGN2",8.26364434732708,8.47885371879336,8.53583154994792,7.4455196820593,7.42541468770571,8.11741671931074
"RPS6KA1",5.23087700832804,5.04948116299568,6.60058963624906,6.59277782143442,4.9770888836488,4.22742789384803
"ARID1A",6.34820803139847,6.38306105974853,7.08960731982806,6.03134333562224,6.91699129181617,4.22742789384803
"ZDHHC18",5.81698738387323,4.69623031625439,6.944273314467,5.63945629658092,5.467922580958,6.71502521591347
"GPN2",5.23087700832804,4.22742789384803,4.99023772891781,4.22742789384803,4.22742789384803,4.22742789384803
