mode,eigenvalue_nm2,variance_fraction,variance_percent,cumulative_variance_percent
162,0.00105385,6.365398466116959e-05,0.0063653984661169,99.46971457948376
163,0.00104365,6.303789067858769e-05,0.0063037890678587,99.47601836855164
164,0.00103098,6.227260531002762e-05,0.0062272605310027,99.48224562908264
165,0.00101898,6.154778885993129e-05,0.0061547788859931,99.48840040796864
166,0.00100382,6.063210407797624e-05,0.0060632104077976,99.49446361837644
167,0.00099534,6.011990045324148e-05,0.0060119900453241,99.50047560842177
168,0.000972169,5.8720340289476285e-05,0.0058720340289476,99.5063476424507
169,0.00096463,5.826497435470325e-05,0.0058264974354703,99.51217413988618
170,0.000948511,5.729136465811133e-05,0.0057291364658111,99.517903276352
171,0.000938552,5.668982740590221e-05,0.0056689827405902,99.5235722590926
172,0.000924634,5.584916112653213e-05,0.0055849161126532,99.52915717520524
173,0.000907539,5.481659969199903e-05,0.0054816599691999,99.53463883517443
174,0.000892,5.387802279049511e-05,0.0053878022790495,99.54002663745348
175,0.000883582,5.3369564050752527e-05,0.0053369564050752,99.54536359385855
176,0.000874698,5.2832958272197865e-05,0.0052832958272197,99.55064688968578
177,0.000868467,5.245659733048533e-05,0.0052456597330485,99.55589254941884
178,0.000860296,5.196305772934056e-05,0.005196305772934,99.56108885519176
179,0.000841411,5.082237784100144e-05,0.0050822377841001,99.56617109297586
180,0.000830164,5.014304362314864e-05,0.0050143043623148,99.57118539733818
181,0.000810977,4.8984122520815424e-05,0.0048984122520815,99.57608380959029
182,0.000802666,4.848212672775285e-05,0.0048482126727752,99.58093202226304
183,0.000788158,4.760582363958637e-05,0.0047605823639586,99.585692604627
184,0.000782176,4.724450263921334e-05,0.0047244502639213,99.59041705489092
185,0.000777109,4.693844889316016e-05,0.004693844889316,99.59511089978024
186,0.000765028,4.620873993202566e-05,0.0046208739932025,99.59973177377344
187,0.000753729,4.552626484288911e-05,0.0045526264842889,99.60428440025773
188,0.000748049,4.518318505651017e-05,0.004518318505651,99.60880271876336
189,0.00074117,4.476768402649245e-05,0.0044767684026492,99.61327948716604
190,0.000733667,4.431449254106971e-05,0.0044314492541069,99.61771093642014
191,0.000720716,4.353223438730322e-05,0.0043532234387303,99.62206415985888
192,0.000709655,4.286413482442691e-05,0.0042864134824426,99.62635057334133
193,0.000702212,4.2414567421254654e-05,0.0042414567421254,99.63059203008343
194,0.000680936,4.112946785523384e-05,0.0041129467855233,99.63470497686896
195,0.000680004,4.107317377760968e-05,0.0041073173777609,99.63881229424672
196,0.000672675,4.063049213071334e-05,0.0040630492130713,99.64287534345982
197,0.000663008,4.004659207878989e-05,0.0040046592078789,99.64688000266769
198,0.00066102,3.9926514153557264e-05,0.0039926514153557,99.65087265408305
199,0.000651322,3.934074165913773e-05,0.0039340741659137,99.65480672824896
200,0.000650054,3.926415272091089e-05,0.003926415272091,99.65873314352103
