system,replicate,metric,block_start_ns,block_end_ns,n,mean,sd,median,q25,q75,min,max,last
complex,2,whole_backbone_rmsd_nm,60.0,80.0,2000,0.25693765885,0.021303974437507166,0.25510204999999997,0.24243065,0.27072972500000003,0.2041662,0.3258515,0.2797556
complex,2,whole_backbone_rmsd_nm,80.0,100.0,2001,0.3425205208395802,0.03627314316890253,0.3441106,0.316841,0.3698251,0.2542335,0.4513313,0.4017551
complex,2,chain_B_backbone_rmsd_nm,20.0,40.0,2000,0.25149671274999996,0.036177665291178794,0.24952855000000002,0.23065705,0.26397020000000004,0.1587586,0.3709754,0.2133553
complex,2,chain_B_backbone_rmsd_nm,40.0,60.0,2000,0.2222735221,0.035517782306798494,0.2253723,0.200370625,0.25050735,0.11853,0.2979629,0.2301393
complex,2,chain_B_backbone_rmsd_nm,60.0,80.0,2000,0.23165419485000002,0.0288609439696658,0.23330335,0.211740675,0.2504709,0.1531032,0.3274651,0.2427212
complex,2,chain_B_backbone_rmsd_nm,80.0,100.0,2001,0.35341370364817587,0.050390287679586455,0.3726948,0.3315661,0.3890232,0.1843729,0.4328492,0.3910679
complex,2,chain_D_backbone_rmsd_nm,20.0,40.0,2000,0.24928535875,0.04378325527747931,0.25974074999999996,0.223972325,0.282434325,0.1338489,0.3350239,0.2577045
complex,2,chain_D_backbone_rmsd_nm,40.0,60.0,2000,0.21589385905,0.023240364461203335,0.2116559,0.197523075,0.232141425,0.1679533,0.3016944,0.1804068
complex,2,chain_D_backbone_rmsd_nm,60.0,80.0,2000,0.2031174438,0.022391617841581994,0.19864445,0.1847204,0.22274739999999998,0.1540402,0.2575266,0.2231032
complex,2,chain_D_backbone_rmsd_nm,80.0,100.0,2001,0.23209545662168915,0.041419524996151966,0.2231026,0.2093427,0.2395298,0.1258087,0.3648213,0.3107061
complex,2,chain_B_D_com_distance_pbc_nojump_nm,20.0,40.0,2000,1.8841754999999998,0.02941716139334691,1.882,1.864,1.901,1.786,2.011,1.852
complex,2,chain_B_D_com_distance_pbc_nojump_nm,40.0,60.0,2000,1.8817400000000002,0.03215733893256112,1.881,1.859,1.904,1.77,1.999,1.851
complex,2,chain_B_D_com_distance_pbc_nojump_nm,60.0,80.0,2000,1.869232,0.024670741755151458,1.8685,1.852,1.885,1.791,1.971,1.855
complex,2,chain_B_D_com_distance_pbc_nojump_nm,80.0,100.0,2001,1.9137146426786609,0.05862144684741887,1.892,1.87,1.957,1.807,2.108,1.997
