system,replicate,metric,mean_60_80ns,mean_80_100ns,late_block_delta,absolute_late_block_delta
apo,1,protein_rg_nm,1.7032649850000001,1.6945043778110946,-0.008760607188905478,0.008760607188905478
apo,1,protein_sasa_nm2,107.05640499999998,105.03491044776119,-2.021494552238792,2.021494552238792
apo,1,whole_backbone_rmsd_nm,0.3177483095,0.3196581892053973,0.0019098797053972993,0.0019098797053972993
apo,2,chain_B_D_com_distance_pbc_nojump_nm,1.9050755,1.9153103448275863,0.010234844827586409,0.010234844827586409
apo,2,chain_B_backbone_rmsd_nm,0.37970800869999993,0.38583260604697645,0.0061245973469765125,0.0061245973469765125
apo,2,chain_D_backbone_rmsd_nm,0.42741846009999995,0.48687720154922537,0.059458741449225416,0.059458741449225416
apo,2,interchain_hbonds_pbc_nojump_count,9.225,11.975124378109452,2.7501243781094526,2.7501243781094526
apo,2,protein_rg_nm,1.6968278650000002,1.699011184407796,0.002183319407795814,0.002183319407795814
apo,2,protein_sasa_nm2,102.49718000000001,100.92517412935322,-1.572005870646791,1.572005870646791
apo,2,whole_backbone_rmsd_nm,0.42747074580000005,0.4806888644677661,0.053218118667766046,0.053218118667766046
apo,3,chain_B_D_com_distance_pbc_nojump_nm,1.7512630000000002,1.7651499250374811,0.013886925037480902,0.013886925037480902
apo,3,chain_B_backbone_rmsd_nm,0.33482427244999996,0.4507363108445777,0.11591203839457775,0.11591203839457775
apo,3,chain_D_backbone_rmsd_nm,0.3868771304,0.39413251594202897,0.00725538554202898,0.00725538554202898
apo,3,interchain_hbonds_pbc_nojump_count,10.05,8.313432835820896,-1.736567164179105,1.736567164179105
apo,3,protein_rg_nm,1.699330305,1.7288054072963517,0.02947510229635175,0.02947510229635175
apo,3,protein_sasa_nm2,107.61939999999998,108.76201492537314,1.1426149253731523,1.1426149253731523
apo,3,whole_backbone_rmsd_nm,0.41077095075,0.46300934057971016,0.052238389829710186,0.052238389829710186
