"gene","MAD","variance","retained","reason"
"TERF2",0.332612534490594,0.135081694526848,FALSE,"MAD_at_or_below_median"
"TERF2IP",0.542844711147898,0.528989857799637,TRUE,"retained"
"TES",0.536065856232901,0.31084076996003,TRUE,"retained"
"TESC",0.692653349858398,0.519761876221155,TRUE,"retained"
"TESK1",0.301523499977695,0.100633509913288,FALSE,"MAD_at_or_below_median"
"TESK2",0.399101717433299,0.193811528757053,FALSE,"MAD_at_or_below_median"
"TET2",0.817566822454201,0.75673981161027,TRUE,"retained"
"TET3",0.730114109913303,0.569881096289325,TRUE,"retained"
"TEX10",0.4460293632984,0.240617921468066,FALSE,"MAD_at_or_below_median"
"TEX2",0.606442274787301,0.380914145568359,TRUE,"retained"
"TEX261",0.480319902753605,0.219269502420767,TRUE,"retained"
"TEX264",0.3978047760183,0.167599456750207,FALSE,"MAD_at_or_below_median"
"TF",0.465879689358304,0.262472875092246,TRUE,"retained"
"TFAM",0.371444574265804,0.143310047479641,FALSE,"MAD_at_or_below_median"
"TFB1M",0.267992778937801,0.0775445225210953,FALSE,"MAD_at_or_below_median"
"TFB2M",0.483527825871298,0.266915662027453,TRUE,"retained"
"TFCP2",0.514165479848996,0.23727919941774,TRUE,"retained"
"TFDP1",1.0170715207905,1.05085895575963,TRUE,"retained"
"TFDP2",0.6760549119366,0.736171123223561,TRUE,"retained"
"TFE3",0.338407742126999,0.119526769559458,FALSE,"MAD_at_or_below_median"
"TFEB",0.534892938014402,0.28857641038867,TRUE,"retained"
"TFEC",0.821896923288002,0.756594771336233,TRUE,"retained"
"TFF3",1.1448285697779,1.72489706664141,TRUE,"retained"
"TFG",0.590452158764999,0.321636421136673,TRUE,"retained"
"TFIP11",0.5175761826165,0.277099521941135,TRUE,"retained"
"TFPI",0.466438453870201,0.48901867686616,TRUE,"retained"
"TFPT",0.358930413202195,0.150921405811252,FALSE,"MAD_at_or_below_median"
"TFR2",0.411119190447001,0.524591399410343,FALSE,"MAD_at_or_below_median"
"TFRC",1.22715830998531,1.64808361679749,TRUE,"retained"
"TGDS",0.534710937744897,0.281720636441777,TRUE,"retained"
"TGFA",1.063340445993,0.989924190236295,TRUE,"retained"
"TGFB1",0.4912826852619,0.290948577684745,TRUE,"retained"
"TGFB1I1",0.3678991083474,0.225151170315367,FALSE,"MAD_at_or_below_median"
"TGFBI",1.6273406864043,2.05859696911384,TRUE,"retained"
"TGFBR1",0.943524946129498,1.06576646985632,TRUE,"retained"
"TGFBR2",0.445897724727001,0.24877194706784,FALSE,"MAD_at_or_below_median"
"TGFBR3",0.821022763795503,0.955701891367268,TRUE,"retained"
"TGFBRAP1",0.383437919447099,0.179583748773193,FALSE,"MAD_at_or_below_median"
"TGIF1",0.514459660306201,0.342505251766275,TRUE,"retained"
"TGIF2",0.458431021708804,0.255350937239039,TRUE,"retained"
"TGM2",1.4341452820653,1.80386404838467,TRUE,"retained"
"TGM3",0.2713897209534,0.0958533657157308,FALSE,"MAD_at_or_below_median"
"TGOLN2",0.3793950249201,0.179627086708957,FALSE,"MAD_at_or_below_median"
"TGS1",0.4334938372275,0.273117888134382,FALSE,"MAD_at_or_below_median"
"TH1L",0.5761501696503,0.347647534034587,TRUE,"retained"
"THADA",0.485875952183997,0.234546700865469,TRUE,"retained"
"THAP1",0.495773318317203,0.251247534069704,TRUE,"retained"
"THAP11",0.492686399081099,0.254557524191438,TRUE,"retained"
"THAP2",0.270815915464499,0.0878568441615511,FALSE,"MAD_at_or_below_median"
"THAP3",0.2768101443597,0.0770462049596827,FALSE,"MAD_at_or_below_median"
"THAP4",0.4268911374315,0.176231713112309,FALSE,"MAD_at_or_below_median"
"THAP5",0.787624327740601,0.524446381337884,TRUE,"retained"
"THAP6",0.467911534095597,0.248765295413014,TRUE,"retained"
"THAP7",0.3674558976795,0.139073420467072,FALSE,"MAD_at_or_below_median"
"THAP8",0.3265864022673,0.10867138106715,FALSE,"MAD_at_or_below_median"
"THBD",1.0473467902632,0.923949288067649,TRUE,"retained"
"THBS1",1.434539541729,1.96911424681172,TRUE,"retained"
"THBS3",0.363746678591096,0.142148942060393,FALSE,"MAD_at_or_below_median"
"THEM4",0.414508655710801,0.359886116171635,FALSE,"MAD_at_or_below_median"
"THEM5",0.2500006095426,0.258796611575276,FALSE,"MAD_at_or_below_median"
"THEMIS",0.8260526169882,1.1390214212086,TRUE,"retained"
"THOC1",0.567652113273002,0.358428512017595,TRUE,"retained"
"THOC2",0.405716378104801,0.196693601178153,FALSE,"MAD_at_or_below_median"
"THOC4",0.695432249307601,0.395379870940542,TRUE,"retained"
"THOC5",0.554808161924099,0.309666307697353,TRUE,"retained"
"THOC6",0.4174227482649,0.177001578580859,FALSE,"MAD_at_or_below_median"
"THOC7",0.5435924545275,0.329478176122184,TRUE,"retained"
"THPO",0.255385203695999,0.0727047452455244,FALSE,"MAD_at_or_below_median"
"THRA",0.437640930365101,0.229289636230066,FALSE,"MAD_at_or_below_median"
"THRAP3",0.334191642855003,0.137329077415824,FALSE,"MAD_at_or_below_median"
"THRB",0.260573135407202,0.134816052646459,FALSE,"MAD_at_or_below_median"
"THTPA",0.282654761864999,0.103835443429161,FALSE,"MAD_at_or_below_median"
"THUMPD1",0.6210255524109,0.507062175080915,TRUE,"retained"
"THUMPD3",0.583180418669095,0.325768728058831,TRUE,"retained"
"THYN1",0.678695489253602,0.5052709527016,TRUE,"retained"
"TIA1",0.628665444325798,0.335558156335198,TRUE,"retained"
"TIAL1",0.3272801219268,0.123947782916425,FALSE,"MAD_at_or_below_median"
"TIAM1",1.0757809855884,1.06000374844978,TRUE,"retained"
"TIAM2",0.715213299399901,0.840043522062378,TRUE,"retained"
"TICAM1",0.421637702969698,0.201267027188668,FALSE,"MAD_at_or_below_median"
"TICAM2 ",0.759859282427701,0.569419736099917,TRUE,"retained"
"TIE1",0.246910751793298,0.0822045132244346,FALSE,"MAD_at_or_below_median"
"TIFA",1.2098328139191,1.47162368763392,TRUE,"retained"
"TIGD3",0.563052987256199,0.6524154012957,TRUE,"retained"
"TIGIT",0.3394003858224,0.30072326971477,FALSE,"MAD_at_or_below_median"
"TIMM10",0.508890780455395,0.468943989130912,TRUE,"retained"
"TIMM13",0.346830967234499,0.136395060175436,FALSE,"MAD_at_or_below_median"
"TIMM16",0.327083273418303,0.115213195182558,FALSE,"MAD_at_or_below_median"
"TIMM17A",0.5714816920533,0.334965437757058,TRUE,"retained"
"TIMM17B",0.382392204602098,0.148108015291007,FALSE,"MAD_at_or_below_median"
"TIMM44",0.2505541523373,0.0802497796210098,FALSE,"MAD_at_or_below_median"
"TIMM50",0.338937102974401,0.137205491568055,FALSE,"MAD_at_or_below_median"
"TIMM8B",0.3441166661499,0.142554465486545,FALSE,"MAD_at_or_below_median"
"TIMM9",0.3471942212844,0.193886516190216,FALSE,"MAD_at_or_below_median"
"TIMP1",0.717623393203497,0.564116958644933,TRUE,"retained"
