"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.26161891138384e-07,3.11534489804066,0.176,0.028,0.010889446499,"0","FOLR3"
7.03764430478767e-07,3.87536117892362,0.17,0.028,0.0145651086531886,"0","PFKFB2"
1.14291982700218e-06,3.50347721757353,0.25,0.089,0.023653868739637,"0","GALNT2"
1.54596565952472e-06,1.69244670690897,0.521,0.411,0.0319953052895235,"0","CD63"
1.61179886073385e-06,2.92743961155742,0.309,0.145,0.0333577892217478,"0","CPD"
1.81816789587559e-06,1.5267789604618,0.511,0.388,0.0376288027730412,"0","UPP1"
2.75394426615158e-06,1.17830277075563,0.596,0.509,0.0569956305322731,"0","LCP1"
3.2728204012112e-06,2.75273220764298,0.266,0.107,0.067734291023467,"0","PTEN"
4.13478874384344e-06,2.2799007768777,0.314,0.15,0.0855735878425838,"0","SLC6A6"
4.53578373219027e-06,0.822231637637223,0.681,0.696,0.0938725801214098,"0","ARPC2"
6.76621145276434e-06,2.65551853016915,0.218,0.07,0.140033512226411,"0","MCEMP1"
7.24037065536024e-06,3.16551020351748,0.202,0.061,0.149846711083335,"0","UBE2H"
7.50106241686462e-06,1.91876468737345,0.5,0.411,0.15524198777943,"0","LITAF"
7.82062388841195e-06,2.03372652743218,0.255,0.098,0.161855631994574,"0","LILRA5"
1.18995444255029e-05,4.1499541848319,0.181,0.051,0.246272971430207,"0","SLC37A3"
1.55984488105015e-05,3.12961793987996,0.378,0.238,0.322825496582139,"0","MT2A"
1.68301960458928e-05,1.52120404126156,0.463,0.346,0.348317737365797,"0","SERPINB1"
1.97381282792291e-05,2.60415218186398,0.181,0.051,0.408500302866925,"0","PGS1"
2.075455354726e-05,1.63051989768325,0.505,0.439,0.429536240214092,"0","MAP1LC3B"
2.49995423494079e-05,0.447511838272817,0.101,0.294,0.517390528463345,"0","TNFAIP3"
4.1177368782773e-05,0.62802761727631,0.755,0.785,0.852206824328269,"0","COTL1"
5.21687274475926e-05,1.87213808689911,0.42,0.322,1,"0","C4orf3"
7.06864363418972e-05,1.66290541303542,0.532,0.477,1,"0","SLC2A3"
7.20793182988466e-05,3.4495500626075,0.16,0.047,1,"0","RGL4"
8.56785502639895e-05,1.7516831081686,0.351,0.22,1,"0","GNB2"
9.42332121865966e-05,2.51734744458478,0.239,0.112,1,"0","FLOT1"
0.000106466641488036,1.28556893491409,0.537,0.542,1,"0","GMFG"
0.000131649346033504,1.71298925356898,0.394,0.29,1,"0","RAC2"
0.00013845206217701,2.03432641176003,0.314,0.192,1,"0","CNN2"
0.000141647039223892,2.20100372395627,0.261,0.131,1,"0","ASPH"
0.000153803841705421,2.07625247140616,0.314,0.192,1,"0","IVNS1ABP"
0.000164298627850887,3.28159758572754,0.16,0.051,1,"0","HBB"
0.000205701356092438,2.2633028819895,0.186,0.07,1,"0","GPI"
0.00021110712631492,1.11231616598159,0.596,0.519,1,"0","MARCKS"
0.000255323965551216,1.75525338994187,0.346,0.229,1,"0","SAMSN1"
0.000367127834581432,1.20882485468803,0.457,0.379,1,"0","GPSM3"
0.000573047962601463,0.683541606400639,0.34,0.192,1,"0","NKG7"
0.000620886944863403,0.368084805415693,0.298,0.565,1,"0","IER2"
0.000652553762697572,2.20605725275238,0.25,0.14,1,"0","TUBA4A"
0.000656001177531741,1.54359515144093,0.277,0.154,1,"0","MXD1"
0.000663162482617415,2.11516635153608,0.34,0.243,1,"0","AGFG1"
0.000710931572206001,0.811905753041371,0.697,0.668,1,"0","CEBPB"
0.000845209542822233,1.62223019736555,0.223,0.112,1,"0","RNF144B"
0.000909844646010557,0.606154946011415,0.835,0.967,1,"0","TMSB4X"
0.00099870748492131,0.306378391468179,0.16,0.355,1,"0","RAP1B"
0.00110062169864979,1.72369826001834,0.309,0.201,1,"0","RFLNB"
0.0012474261121979,0.30629605103569,0.064,0.182,1,"0","NFKB1"
0.00136511879124649,1.04098758393227,0.521,0.5,1,"0","LSP1"
0.00152962993450149,0.340044860593223,0.074,0.196,1,"0","MIER1"
0.00153297550290411,0.67569597061056,0.628,0.701,1,"0","LAPTM5"
0.00175595890332215,1.82894733389818,0.239,0.136,1,"0","CHMP2A"
0.00181162021423628,0.542887164805274,0.665,0.724,1,"0","PFN1"
0.00193066963496171,1.23515695342019,0.457,0.425,1,"0","UBALD2"
0.00198437439809374,1.23994412592444,0.537,0.491,1,"0","GLUL"
0.00228994529292031,2.14427649471736,0.16,0.07,1,"0","NDRG1"
0.00238665967837869,2.31431789728267,0.298,0.22,1,"0","PLAC8"
